Term	Notes	English	Ukrainian
card_mine_name		Iron Mine	Залізна шахта
card_mine_status		Working in Iron Mine	Працює у залізній копальні
card_momma_crab_description		Maybe you shouldn't have killed those Crabs?	Може, не варто було вбивати тих крабів?
card_momma_crab_name		Momma Crab	Мама краб
card_monkey_description		Would really like a Banana	Дуже хотів би банан
card_monkey_name		Monkey	Мавпа
card_parrot_description		Talks like a human, flies like a bird. Makes Pirates happy	Розмовляє як людина, літає як птах. Робить піратів щасливими
card_parrot_name		Parrot	Папуга
card_pirate_boat_description		A boat full of Pirates	Човен, повний піратів
card_pirate_boat_name		Pirate Boat	Піратський човен
card_pirate_boat_status		We'll leave you alone for [count] Coins..	Ми дамо вам спокій за [count] монет..
card_pirate_description		A burly angry seaman	Кремезний розлючений моряк
card_pirate_name		Pirate	Пірат
card_raw_crab_meat_description		Should be cooked before consumption	Варто зварити перед вживанням
card_raw_crab_meat_name		Raw Crab Meat	Сире крабове м'ясо
card_raw_fish_description		It's slippery	Слизька
card_raw_fish_name		Raw Fish	Сира риба
card_rope_description		Long and fibrous	Довга і волокниста
card_rope_name		Rope	Мотузка
card_rowboat_description		Can carry 1 Card. Needs a Villager to start sailing. Can't carry Buildings	Може перевозити 1 картку. Потребує селянина для відплиття. Не може перевозити будівлі
card_rowboat_name		Rowboat	Весловий човен
card_sacred_chest_description		It needs a Sacred Key to be opened	Для її відкриття потрібен священний ключ
card_sacred_chest_name		Sacred Chest	Священна скриня
card_sacred_key_description		Forged with Glass and Gold. Used for opening the Sacred Chest.	Викований зі скла та золота. Використовується для відкриття священної скрині.
card_sacred_key_name		Sacred Key	Священний ключ
card_sail_description		Used for making Boats	Використовується для виготовлення човнів
card_sail_name		Sail	Вітрило
card_sand_description		The main ingredient for a nice beach	Основний інгредієнт гарного пляжу
card_sand_name		Sand	Пісок
card_sand_quarry_description		An unlimited resource of Sand	Нескінченне джерело піску
card_sand_quarry_name		Sand Quarry	Піщаний кар'єр
card_sand_quarry_status		Mining at Sand Quarry	Видобування у піщаному кар'єрі
card_sandstone_description		An alternative to Stone. Can be used for anything Stone is needed for.	Альтернатива каменю. Можна використовувати для всього, для чого потрібен камінь.
card_sandstone_name		Sandstone	Пісковик
card_seafood_stew_description		Delicious Island stew	Смачне острівне рагу
card_seafood_stew_name		Seafood Stew	Рагу з морепродуктів
card_seagull_description		An angry bird	Злий птах
card_seagull_name		Seagull	Мартин
card_seaweed_description		Salad of the sea	Салат моря
card_seaweed_name		Seaweed	Водорості
card_shark_description		A type of big angry fish	Тип великої злої риби
card_shark_name		Shark	Акула
card_sheep_description		Fluffy!	Пухнаста!
card_sheep_name		Sheep	Вівця
card_shell_chest_description		A chest that can hold Shells	Скриня, яка може зберігати мушлі
card_shell_chest_name		Shell Chest	Скриня для мушель
card_shell_description		The main currency on the Island	Основна валюта на острові
card_shell_name		Shell	Мушля
card_sloop_description		Can carry 10 Cards. Needs a Villager to start sailing. Can't carry Buildings	Може перевозити 10 карток. Потребує селянина для відплиття. Не може перевозити будівлі
card_sloop_name		Sloop	Шлюпка
card_smelter_description		Processes various materials by smelting them	Обробляє різні матеріали, переплавляючи їх
card_smelter_name		Smelter	Плавильня
card_smelter_status		Smelting	Виплавлення
card_snake_description		A slithering, poisonous creature	Повзуча та отруйна істота
card_snake_name		Snake	Змія
card_sugar_cane_description		It's candy flavored grass	Трава, на смак як цукерки
card_sugar_cane_name		Sugar Cane	Цукрова тростина
card_sugar_cane_status		Harvesting Sugar Cane	Збирання цукрової тростини
card_sugar_description		Very sweet!	Дуже солодкий!
card_sugar_name		Cane Sugar	Тростинний цукор
card_sushi_description		A delicious treat	Смачне частування
card_sushi_name		Sushi	Суші
card_tamago_sushi_description		Egg flavored sushi	Суші зі смаком яєць
card_tamago_sushi_name		Tamago Sushi	Тамаґо суші
card_tentacle_description		Wiggle wiggle wiggle	Мац-мац-мац
card_tentacle_name		Tentacle	Мацак
card_tiger_description		A very strong cat	Дуже сильний котик
card_tiger_name		Tiger	Тигр
card_trained_monkey_description		Can help you out with chores. Turns back into a normal Monkey at the end of the Moon	Може допомогти вам у роботі. Знову перетворюється на звичайну мавпу наприкінці дня
card_trained_monkey_name		Trained Monkey	Тренована мавпа
card_treasure_map_description		X marks the spot. Needs to be searched with a Villager	Х позначає місце. Треба обшукати з селянином
card_treasure_map_name		Treasure Map	Карта скарбів
card_treasure_map_status		Looking for Treasure	Пошук скарбу
card_tuna_name		Tuna	Тунець
card_wool_description		A soft resource	М'який ресурс
card_wool_name		Wool	Вовна
cardtype_fish		Fish	Риба
cardtype_rumors		Rumors	Чутки
empty	Intentionally left blank		
idea_aquarium_status_0		Building Aquarium	Будівництво акваріума
idea_befriending_pirate_status		Befriending Pirate	Переговори з піратом
idea_bottle_status_0		Making Bottle	Виготовлення пляшки
idea_cathedral_status_0		Building Cathedral	Будівництво собору
idea_ceviche_status		Making Ceviche	Приготування севіче
idea_charcoal_status		Making Charcoal	Виготовлення вугілля
idea_charcoal_status_0		Making Charcoal	Виготовлення вугілля
idea_compass_status		Making Compass	Виготовлення компаса
idea_composter_status		Building Composter	Будівництво компостера
idea_composting_status		Composting	Компостування
idea_cooked_crab_meat_status_0		Cooking Crab Meat	Приготування крабового м'яса
idea_cooked_fish_status_0		Grilling Fish	Смаження риби
idea_cracking_coconut_status		Cracking Coconut	Розбивання кокосу
idea_distillery_status		Building Distillery	Будівництво перегонного апарату
idea_eating_charcoal		Removing Poison	Зцілення отруєння
idea_fabric_status		Making Fabric	Виготовлення тканини
idea_filling_bottle_of_water		Filling Bottle	Наповнення пляшки
idea_fish_trap_status		Building Fish Trap	Будівництво пастки для риби
idea_fishing_rod_status		Making Fishing Rod	Виготовлення вудки
idea_frigate_status0		Building a Frigate	Будівництво фрегата
idea_greenhouse_status_0		Building Greenhouse	Будівництво теплиці
idea_growth_name_status_10		Growing Chili Pepper	Вирощування перцю чилі
idea_growth_name_status_9		Growing Lime	Вирощування лайму
idea_growth_status_6		Growing Banana Tree	Вирощування бананового дерева
idea_growth_status_7		Growing Coconut Tree	Вирощування кокосової пальми
idea_growth_status_8		Growing Cotton Plant	Збирання бавовни
idea_mess_hall_status		Building Mess Hall	Будівництво їдальні
idea_rope_status		Making Rope	Виготовлення мотузки
idea_rowboat_status0		Building a Rowboat	Будівництво веслового човна
idea_rum_status		Making Rum	Виготовлення рому
idea_sacred_key_status0		Forging Sacred Key	Кування священного ключа
idea_sail_status0		Making a Sail	Виготовлення вітрила
idea_sand_quarry_status		Building Sand Quarry	Будівництво піщаного кар'єру
idea_sandstone_status		Creating Sandstone	Виготовлення пісковика
idea_seafood_stew_status_0		Cooking Seafood Stew	Приготування рагу з морепродуктів
idea_shell_chest_status_0		Making Shell Chest	Виготовлення скрині для мушель
idea_sloop_status0		Building a Sloop	Будівництво шлюпки
idea_smelting_glass_status		Creating Glass	Виготовлення скла
idea_smelting_status_2		Smelting Gold	Виплавлення золота
idea_smelting_status_3		Making Coin	Виготовлення монети
idea_sushi_status		Making Sushi	Приготування суші
idea_tamago_sushi_status		Making Tamago Sushi	Приготування тамаґо суші
idea_training_captain_status		Training Captain	Тренування капітана
idea_training_fisher_status		Training Fisher	Тренування рибалки
idea_training_monkey_status		Training Monkey	Тренування мавпи
ideagroup_fishing		Fishing	Риболовні
ideagroup_important		Important	Важливі
ideagroup_island		Island	Острів
ideagroup_sailing		Naval	Морські
label_a_rumor		A Rumor	Чутка
label_awakened_something		You awakened something..	Ви щось пробудили...
label_awakened_the_kraken		It's a Kraken!	Це кракен!
label_card_cap		Card Cap	Ковпак картки
label_complete_more_island_quests_for_pack		<one>Complete 1 more Island Quest to unlock this Pack!<other>Complete [remaining] more Island Quests to unlock this Pack!	<one>Виконайте ще 1 острівне доручення, щоб розблокувати цей пакет!<other>Виконайте ще [remaining] острівних доручень, щоб розблокувати цей пакет!
label_everyone_on_island_dead		Everyone on the Island died	Усі на острові загинули
label_everyone_on_island_dead_text		Your cards will stay here for when you return	Ваші картки залишаться тут, коли ви повернетеся
label_island_intro_1		Welcome to the Island	Вітаємо на острові
label_island_intro_2		While at the Island you won't have to take care of the Mainland	Перебуваючи на острові, вам не доведеться піклуватися про материк
label_island_intro_3		You can go back to the Mainland at any time using the Rowboat	Ви можете будь-коли повернутися на материк, скориставшись човном
label_island_intro_4		The Rowboat can only carry a single card - other Boats allow you to bring more cards back and forth	Весловий човен може перевозити лише одну картку, інші човни дозволяють перевозити більше карт туди-сюди
label_island_intro_5		If all your Villagers die, you will be returned to the Mainland	Якщо всі ваші селяни загинуть, вас поверне на материк
label_island_intro_6		Good luck!	Удачі!
label_island_intro_pack_text		You got a pack for beating the Demon	Ви отримали пакет за перемогу над демоном
label_island_intro_pack_title		Nice!	Чудово!
label_island_intro_title		The Island!	Острів!
label_join_our_discord		Join our Discord	Доєднуйся до нас у Discord
label_main_quests		Main Quests	Основні доручення
label_momma_crab_appeared_text		She seems angry..	Вона здається сердитою..
label_momma_crab_appeared_title		Momma Crab Appeared	З'явилася мама краб
label_no_ideas_yet		You haven't found any Ideas yet	Ви ще не знайшли жодної ідеї
label_one_villager_needs_to_stay		At least one Villager needs to stay on the Mainland	Принаймні один селянин повинен залишитися на материку
label_pirate_boat_appeared		A Pirate Boat appeared	З'явився піратський човен
label_quests_complete_more_to_see		Complete more quests to see the next ones	Виконайте більше доручень, щоб побачити наступні
label_return_to_mainland		Return to Mainland	Повернутися на материк
label_rumor_full		Rumor: [name]	Чутка: [name]
label_sailing_off_title		Sail Off	Відплисти
label_save_game		<b>Save [save_index]<b> - [percentage] complete - last played [date]	<b>Зберегти [save_index]<b> - [percentage] завершено - востаннє грали [date]
label_save_games		Save Game	Зберегти гру
label_select_save		Select Save	Вибрати збереження
label_side_quests		Side Quests	Побічні доручення
label_start_new_save		<b>Save [save_index]<b> - start new save	<b>Зберегти [save_index]<b> - почати нове збереження
label_status_effect		Status: [status]	Статус: [status]
label_time		Time	Час
label_you_killed_the_demon_lord		You killed the Demon Lord	Ви вбили лорда демонів
pack_island_advanced_text		Advanced Archipelago	Передовий архіпелаг
pack_island_cooking_text		Grilling and Brewing	Гриль та пивоваріння
pack_island_ideas1_text		Island of Ideas	Острів ідей
pack_island_ideas2_text		Island Insights	Вивчення острова
pack_island_intro_text		The Island?	Острів?
pack_island_locations_text		Enclave Explorers	Дослідники Анклаву
pack_island1_text		Fresh Isle	Свіжий острів
pack_island2_text		On The Shore	На березі
quest_befriend_a_pirate_text		Befriend a Pirate	Потоваришувати з піратом
quest_bribe_pirate_boat_text		Bribe a Pirate Boat	Підкупити піратський човен
quest_build_cathedral_text		Build a Cathedral on the Mainland	Збудувати собор на материку
quest_build_composter_text		Build a Composter	Збудувати компостер
quest_build_fish_trap_text		Build a Fish Trap	Збудувати пастку для риб
quest_build_greenhouse_text		Build a Greenhouse	Збудувати теплицю
quest_build_mess_hall_text		Build a Mess Hall	Збудувати їдальню
quest_build_rowboat_text		Build a Rowboat	Збудувати гребний човен
quest_build_sloop_text		Build a Sloop	Збудувати шлюпку
quest_catch_a_fish_text		Catch a Fish	Спіймати рибу
quest_cook_crab_meat_text		Cook Crab Meat	Приготувати крабове м'ясо
quest_crack_coconut_text		Crack a Coconut	Розколоти кокос
quest_cure_poison_text		Cure a Poisoned Villager	Вилікувати отруєного селянина
quest_drunk_villager_text		Get a Villager Drunk	Напоїти селянина
quest_find_treasure_map_text		Find a Treasure Map	Знайти мапу скарбів
quest_find_treasure_text		Find Treasure	Знайти скарб
quest_forge_sacred_key_text		Forge Sacred Key	Викувати священний ключ
quest_get_2_bananas_text		Get 2 Bananas	Отримати 2 банани
quest_have_shells_text		Have [count] Shells	Зібрати [count] мушель
quest_island_relic_to_cathedral_text		Bring the Island Relic to the Cathedral	Принести реліквію острова до собору
quest_kill_demon_lord_text		Kill the Demon Lord	Убити лорда демонів
quest_kill_kraken_text		Kill the Kraken	Убити кракена
quest_kill_momma_crab_text		Kill Momma Crab	Вбийте маму краба
quest_make_ceviche_text		Make Ceviche	Приготувати севіче
quest_make_fish_trap_text		Make a Fish Trap	Створити пастку для риби
quest_make_glass_text		Make Glass	Створити скло
quest_make_gold_bar_text		Make a Gold Bar	Створити золотий злиток
quest_make_rope_text		Make Rope	Створити мотузку
quest_make_rum_text		Make a Bottle of Rum	Створити пляшку рому
quest_make_sail_text		Make a Sail	Створити вітрило
quest_make_sandstone_text		Make Sandstone	Створити пісковик
quest_make_seafood_stew_text		Make a Seafood Stew	Приготувати рагу з морепродуктів
quest_make_sushi_text		Make Sushi	Приготувати суші
quest_open_message_in_a_bottle_text		Open a Message in a Bottle	Відкрити повідомлення в пляшці
quest_open_sacred_chest_text		Open the Sacred Chest	Відкрити священну скриню
quest_poisoned_villager_text		Have a Poisoned Villager	Мати отруєного селянина
quest_punch_driftwood_text		Punch some Driftwood	Розбити корчі
quest_train_a_fisher_text		Train a Fisher	Натренуйте рибалку
quest_train_captain_text		Train a Captain	Натренуйте капітана
quest_unlock_all_island_packs_text		Unlock all Island Packs	Розблокувати всі острівні пакунки
questgroup_building		Construction	Будівництво
questgroup_cooking		Potluck	Куховарство
questgroup_exploration		Discovery	Відкриття
questgroup_fighting		Power & Skill	Сила та майстерність
questgroup_island		Island Ambitions	Острівні амбіції
questgroup_island_beginnings		Marooned	Викинуті на берег
questgroup_island_combat		Enclave Encounters	Анклавні зустрічі
questgroup_island_cooking		Island Grub	Острівна їжа
questgroup_island_mainquest		Mystery of the Island	Таємниця острова
questgroup_island_misc		Island Other	Острів: Інше
questgroup_mainquest		The Grand Scheme	Великий задум
questgroup_other		Other	Інше
questgroup_resources		Ways and Means	Шляхи та засоби
questgroup_starter		Welcome	Ласкаво просимо
questgroup_survival		Longevity	Довголіття
rumor_eel_bait_description		When using a Fish Trap, Banana can be used to catch Eel	Використавши у пастці для риб банан ви можете спіймати вугра
rumor_eel_bait_name		Eel Bait	Приманка для вугра
rumor_island_description		Gold and Glass can be found on the Island	На острові можна знайти золото і скло
rumor_island_name		The Island	Острів
rumor_shark_bait_description		When using a Fish Trap, Raw Meat can be used to catch Shark	Використовуючи у пастці для риби сире м’ясо можна спіймати акулу
rumor_shark_bait_name		Shark Bait	Приманка для акули
rumor_tuna_bait_description		When using a Fish Trap, Lime can be used to catch Tuna	Використовуючи у пастці для риби лайм можна спіймати тунця
rumor_tuna_bait_name		Tuna Bait	Приманка для тунця
statuseffect_drunk_description		Decreases work speed, decreases hit chance, increases max damage	Зменшує швидкість роботи, зменшує ймовірність попадання, збільшує максимальну шкоду
statuseffect_drunk_lore		Enjoy responsibly	Насолоджуйтесь відповідально
statuseffect_drunk_name		Drunk	П'яний
statuseffect_poison_description		Deals damage every 60s	Завдає шкоди кожні 60 секунд
statuseffect_poison_lore		Dangerous poison runs through their veins, they need an antidote as soon as possible	У їхніх жилах тече небезпечна отрута, їм потрібна якомога швидше знайти протиотруту
statuseffect_poison_name		Poisoned	Отруєний
statuseffect_spoiling_description		Will turn into Goop after 1 Moon	Перетвориться на жижу через 1 день
statuseffect_spoiling_lore		Left out in the sun for a bit too long	Надто довго був під сонцем
statuseffect_spoiling_name		Spoiling	Псування
statuseffect_stunned_description		Unable to attack for 5s	У незмозі атакувати протягом 5 с
statuseffect_stunned_lore		That hit really hurt..	Це було боляче...
statuseffect_stunned_name		Stunned	Оглушений
statuseffect_wellfed_description		Increases work speed	Збільшує швидкість роботи
statuseffect_wellfed_lore		The hearty meal did them well	Ситна їжа їм сподобалася
statuseffect_wellfed_name		Well Fed	Нагодований
label_sailing_off_full		Sailing Off	Відплив
language_dutch		Dutch	Голландська
language_french		French	Французька
language_german		German	Німецька
language_italian		Italian	Італійська
language_polish		Polish	Польська
language_spanish		Spanish	Іспанська
credits_aran		Concept, programming, design	Концепт, програмування, дизайн
credits_lisa		Game art	Мальовка
credits_sokpop		Game by Sokpop	Гра від Sokpop
credits_local_heroes		Localisation	Переклад
credits_special_thanks		Special Thanks	Особлива подяка
label_relic_brought_to_cathedral		The Relic was brought to the Cathedral	Реліквію доставлено до собору
label_controls		Controls	Керування
control_time_1		1x Speed	Швидкість 1x
control_time_2		5x Speed	Швидкість 5x
control_time_3		0x Speed	Швидкість 0x
control_time_pause		Pause Time	Призупинити
control_panel_collapse		Toggle Sidebar	Увімк./Вимк. бокову панель
control_zoom		Zoom	Наближення
control_sell		Sell Card	Продати картку
control_time_toggle		Toggle Time	Перемкнути час
control_pause		Pause Game	Призупинити гру
control_grab		Grab	Схопити
control_activate_UI		Activate UI	Активувати інтерфейс
control_move		Move	Рух
control_snap_move		Snap Move	Різкий рух
control_snap_cards		Snap Cards To Grid	Прикріпити картки до сітки
label_keyboard_mouse		Keyboard & Mouse	Клавіатура та миша
label_controller		Controller	Контролер
label_waiting_for_input		Waiting for input	Очікування введення
label_sellbox_description		Drag Cards here to sell them. You can also use [action_sell] to sell cards.	Перетягніть картки сюди, щоб продати їх. Ви також можете використовувати [action_sell] для продажу карток.
label_toggle_panel_text	Controls can now be rebound, so that the parameters will be replaced with the appropriate key	Press this button or press [action_panel_collapse] to toggle the Quests and Ideas Tab	Натисніть цю кнопку або [action_panel_collapse], щоб перемикатися між вкладками доручення та ідеї
label_auto_pause_controller		Automatically pause time when dragging cards (controller):	Автоматична пауза під час перетягування карток (контролер):
label_auto_pause_keyboardmouse		Automatically pause time when dragging cards (keyboard):	Автоматична пауза під час перетягування карток (клавіатура):
label_binding	Used when rebinding a control to a key	Assigning [control]	Призначення [control]
label_accessibility		Accessibility	Доступність
language_portuguese		Brazilian Portuguese	Бразильська Португальська
language_chinese		Chinese	Китайська
language_japanese		Japanese	Японська
language_korean		Korean	Корейська
label_progress_stored		Progress will be saved	Прогрес буде збережено
label_go_to_island_prompt		Are you sure you want to travel to the Island? This will first end the current Moon and feed your Villagers	Ви впевнені, що хочете помандрувати на острів? Це припинить поточний день і нагодує ваших селян
label_return_to_mainland_prompt		Are you sure you want to travel back to the Mainland? This will first end the current Moon and feed your Villagers	Ви впевнені, що хочете повернутися на материк? Це припинить поточний день і нагодує ваших селян
label_not_enough_food_before_sailing		You need to have enough Food for your Villagers before you can sail off	Вам потрібно мати достатньо їжі для селян, перш ніж ви зможете відплисти
idea_growth_status_11		Growing Seaweed	Вирощування водоростей
card_market_description		Can be used to sell Cards for more than usual	Можна використовувати для продажу карток дорожче, ніж зазвичай
attackdamage_veryweak		Very Weak	Дуже слабка
attackdamage_weak		Weak	Слабка
attackdamage_normal		Normal	Нормальна
attackdamage_strong		Strong	Сильна
attackdamage_verystrong		Very Strong	Дуже сильна
attackdamage_extremelystrong		Extremely Strong	Надзвичайно сильна
attackspeed_veryslow		Very Slow	Дуже повільна
attackspeed_slow		Slow	Повільна
attackspeed_normal		Normal	Нормальна
attackspeed_fast		Fast	Швидка
attackspeed_veryfast		Very Fast	Дуже швидка
attackspeed_extremelyfast		Extremely Fast	Надзвичайно швидка
card_amulet_of_forest_description		You feel the healing power of nature running through you	Ви відчуваєте як цілюща сила природи пронизує вас
card_amulet_of_forest_name		Forest Amulet	Лісовий оберіг
card_amulet_of_mountain_description		It grounds you	Заземляє вас
card_amulet_of_mountain_name		Mountain Amulet	Гірський оберіг
card_archer_description		Afraid to get too close	Боїться підійти занадто близько
card_archer_name		Archer	Лучник
card_axe_description		For chopping wood and monsters	Для рубання дров і монстрів
card_axe_name		Axe	Сокира
card_bear_claw_description		Cheap Wolverine knockoff	Дешева підробка росомахи
card_bear_claw_name		Bear Claw	Ведмежий кіготь
card_blowpipe_description		Blow as hard as you can	Дуйте якомога сильніше
card_blowpipe_name		Blowpipe	Духова труба
card_blunderbuss_description		Watch out! Could blow up in your own face	Стережись! Може вистрілити тобі в обличчя
card_blunderbuss_name		Blunderbuss	Мушкет
card_bone_spear_description		Intimidating version of a regular Spear	Погрозливий вид звичайного списа
card_bone_spear_name		Bone Spear	Кістяний спис
card_bone_staff_description		A bone with special abilities	Кістка з особливими здібностями
card_bone_staff_name		Bone Staff	Кістяний посох
card_boomerang_description		Always comes back to you	Завжди повертається до вас
card_boomerang_name		Boomerang	Бумеранг
card_bow_description		Makes you feel like Robin Hood	Ви відчуваєте себе Робін Гудом
card_bow_name		Bow	Лук
card_broken_bottle_description		Cut out for the job	Готова до роботи
card_broken_bottle_name		Broken Bottle	Розбита пляшка
card_builder_description		Way faster at Building	Набагато швидше в будівництві
card_builder_name		Builder	Будівельник
card_bunny_hat_description		It's adorable!	Просто чарівний!
card_bunny_hat_name		Rabbit Hat	Кролячий капелюх
card_chainmail_armor_description		A medieval era classic	Класика середньовіччя
card_chainmail_armor_name		Chainmail Armor	Кольчужний обладунок
card_club_description		Not used for playing baseball	Не для гри у бейсбол
card_club_name		Club	Бита
card_crab_scale_armor_description		The scales are impenetrable	Луска непробивна
card_crab_scale_armor_name		Crab Scale Armor	Броня із крабової луски
card_crossbow_description		A gun for arrows	Пістолет для стріл
card_crossbow_name		Crossbow	Арбалет
card_dark_amulet_description		Its dark force makes you stronger	Його темна сила робить вас сильнішими
card_dark_amulet_name		Dark Amulet	Темний амулет
card_dark_elf_description		Emo version of a regular Elf	Емо-версія звичайного ельфа
card_dark_elf_name		Dark Elf	Темний ельф
card_demon_sword_description		An excellent blade used by the Demon himself	Чудовий клинок, яким користується сам демон
card_demon_sword_name		Demon Sword	Меч демона
card_elf_archer_description		Elves are the best archers	Ельфи - найкращі лучники
card_elf_archer_name		Elf Archer	Ельфійський лучник
card_elf_description		Does not work for Santa Claus anymore	Більше не працює на Санту
card_elf_name		Elf	Ельф
card_enchanted_shroom_description		It's a magic shroom	Це чарівний гриб
card_enchanted_shroom_name		Enchanted Shroom	Зачарований гриб
card_ent_description		A talking and walking tree	Дерево, що говорить і крокує
card_ent_name		Ent	Ент
card_feral_cat_description		Does it have rabies? Probably!	Чи є у нього сказ? Ймовірно!
card_feral_cat_name		Feral Cat	Дикий кіт
card_fire_cloak_description		It's lit	Горить
card_fire_cloak_name		Fire Cloak	Вогняний плащ
card_frog_helmet_description		Grants you frog powers	Надає вам сили жаби
card_frog_helmet_name		Frog Helmet	Шолом жаби
card_frog_man_description		A man made of frogs	Людина, зроблена з жаб
card_frog_man_name		Frog Man	Людина-жаба
card_ghost_description		Only shows up on low quality photos	Показується лише на фотографіях низької якості
card_ghost_name		Ghost	Привид
card_giant_snail_description		The French would go crazy for this one	Французи збожеволіли б від нього
card_giant_snail_name		Giant Snail	Гігантський равлик
card_goblin_archer_description		A more talented regular Goblin	Більш талановитий звичайний ґоблін
card_goblin_archer_name		Goblin Archer	Ґоблін-лучник
card_goblin_hat_description		Goblin fashion is outdated	Мода на ґоблінів застаріла
card_goblin_hat_name		Goblin Hat	Капелюх ґобліна
card_goblin_shaman_description		Keeps the other Goblins happy	Робить інших ґоблінів щасливими
card_goblin_shaman_name		Goblin Shaman	Ґоблін-шаман
card_gold_chestplate_description		Slightly overdressed for the event	Статус > Практичність
card_gold_chestplate_name		Golden Chestplate	Золотий нагрудник
card_hammer_description		Slow and blunt but packs a punch	Повільний і тупий, але потужний
card_hammer_name		Hammer	Молот
card_helmet_description		It goes on top of your head. Great for cycling	Надягається на голову. Чудово підходить для їзди на велосипеді
card_helmet_name		Helmet	Шолом
card_horned_helmet_description		Useful for strong headbuts	Корисно для сильних ударів головою
card_horned_helmet_name		Horned Helmet	Рогатий шолом
card_iron_shield_description		A strong defense against hard blows	Сильний захист від сильних ударів
card_iron_shield_name		Iron Shield	Залізний щит
card_kraken_tooth_axe_description		Left for the tooth fairy, you took it instead	Залишений для зубної феї, але забрав його ти
card_kraken_tooth_axe_name		Kraken Tooth Axe	Сокира із зуба Кракена
card_leather_tunic_description		Armor made from the finest leather	Броня з найкращої шкіри
card_leather_tunic_name		Leather Tunic	Шкіряна туніка
card_lumberjack_description		Way faster at harvesting Wood	Набагато швидше у рубці дерев
card_lumberjack_name		Lumberjack	Лісоруб
card_mage_description		A post-grad Wizard	Випускник-чарівник
card_mage_name		Mage	Маг
card_magic_blade_description		An ordinary sword that glitters	Звичайний меч, що блищить
card_magic_blade_name		Magic Blade	Чарівний меч
card_magic_broom_description		You took it from some Old Lady	Ти забрав її у якоїсь літньої жінки
card_magic_broom_name		Magic Broom	Чарівна мітла
card_magic_dust_description		It looks like glitter	Виглядає як блиск
card_magic_dust_name		Magic Dust	Чарівний пил
card_magic_ring_description		Once it slides on your finger it grants you magic powers	Коли надягнутий на палець, надає магічних сил
card_magic_ring_name		Magic Ring	Чарівний перстень
card_magic_staff_description		A long, enchanted rod	Довга зачарована різка
card_magic_staff_name		Magic Staff	Чарівний посох
card_magic_tome_description		An old book with spells in it	Стара книга з заклинаннями
card_magic_tome_name		Magic Tome	Книга чарів
card_magic_wand_description		A simple magic weapon	Проста чарівна зброя
card_magic_wand_name		Magic Wand	Чарівна паличка
card_merman_description		Half man, half mer	Напівчоловік, напівриба
card_merman_name	It's the male version of a Mermaid	Merman	Русал
card_mimic_description		It almost got me	Ледь не попався
card_mimic_name		Mimic	Мімік
card_miner_description		Way faster at harvesting Rock, Gold & Iron	Набагато швидший у добуванні каміння, золота та заліза
card_miner_name		Miner	Гірник
card_morning_star_description		Spikes on a stick	Ні, не той. Шипи на палиці
card_morning_star_name		Morning Star	Моргенштерн
card_mosquito_description		He even hates himself	Він навіть себе ненавидить
card_mosquito_name		Mosquito	Комар
card_ninja_description		Silent and deadly	Тихий і смертельний
card_ninja_name		Ninja	Ніндзя
card_ogre_description		Big and chunky	Великий і кремезний
card_ogre_name		Ogre	Огр
card_orc_wizard_description		Mean and green	Злий і зелений
card_orc_wizard_name		Orc Wizard	Орк-чарівник
card_pickaxe_description		A stick with two pointy ends	Палка з двома загостреними кінцями
card_pickaxe_name		Pickaxe	Кайло
card_pirate_hat_description		Useful for dress up parties	Шикарний одяг для вечірок
card_pirate_hat_name		Pirate Hat	Піратський капелюх
card_pirate_sword_description		Designed for swashbucklers	Створено для шибайголів
card_pirate_sword_name		Pirate Sabre	Піратська шабля
card_quiver_description		Makes you more efficient	Робить вас ефективнішими
card_quiver_name		Quiver	Сагайдак
card_rat_crown_description		Turn into the King of the Rats	Перетворіться на короля щурів
card_rat_crown_name		Rat Crown	Щуряча корона
card_skull_helmet_description		Kinda messed up	Якось неправильно
card_skull_helmet_name		Skull Helmet	Шолом-череп
card_slingshot_description		Very inaccurately hurl rocks at enemies	Дуже невлучно запускає каміння у ворогів
card_slingshot_name		Slingshot	Рогатка
card_smithy_description		A building used for creating better weapons	Будівля, яка використовується для створення кращої зброї
card_smithy_name		Smithy	Кузня
card_spiked_plank_description		For tough construction workers	Для міцних будівельників
card_spiked_plank_name		Spiked Plank	Дошка з шипами
card_stable_portal_name		Stable Portal	Стабільний портал
card_stable_portal_status		Entering the Portal	Вхід у портал
card_staff_of_fear_description		Very scary!!	Дуже страшно!!
card_staff_of_fear_name		Staff of Fear	Посох страху
card_strange_portal_description		It looks threatening. I wonder if we can enter it?	Виглядає загрозливо. Цікаво, чи можемо ми туди увійти?
card_strange_portal_name		Strange Portal	Дивний портал
card_throwing_star_description		Fast and accurate, ninjas love them	Швидкі та точні, нінджя обожнюють їх
card_throwing_star_name		Throwing Stars	Метальні зірочки
card_tiger_fur_coat_description		Trashy but at least it makes you feel strong	Проста, але принаймні дає відчуття сили
card_tiger_fur_coat_name		Tiger Fur Coat	Шуба зі шкіри тигра
card_warrior_description		A Villager who goes to the gym	Селянин, який ходить у спортзал
card_warrior_name		Warrior	Воїн
card_wicked_witch_description		I liked her more when she was still a regular Old Lady	Мені вона більше подобалася, коли вона була ще звичайною літньою жінкою
card_wicked_witch_name		Wicked Witch	Зла відьма
card_wicked_witch_name_2		Old Lady	Літня жінка
card_wizard_description		A villager with glitter	Селянин із блиском
card_wizard_name		Wizard	Чарівник
