Term	Notes	English	Dutch	French	Italian	German	Spanish	Brazilian Portuguese	Polish	Chinese (Simplified)	Chinese (Traditional)	Japanese	Korean
label_everyone_on_island_dead		Everyone on the Island died	Iedereen op het Eiland is dood	Tout le monde est mort sur l'île	Sull'Isola sono tutti morti	Auf der Insel sind alle gestorben	Todos los habitantes de la isla han muerto.	Todos na Ilha morreram.	Wszyscy na Wyspie zginęli	岛上的人都死了	小島上的所有人都死掉了	島の住人が全滅した	섬에 있는 모든 사람이 죽었습니다
label_everyone_on_island_dead_text		Your cards will stay here for when you return	Je Kaarten blijven hier tot je terugkomt	Vos cartes restent ici jusqu'à votre retour	Le tue carte rimarranno qui per quando tornerai	Deine Karten werden hier auf deine Rückkehr warten	Tus cartas permanecerán aquí hasta que vuelvas.	Suas cartas ficarão aqui até você retornar.	Karty zaczekają tu do twojego powrotu	你的卡片将留在这里，以便你回来时使用	當你回來的時候，你的卡牌還會留在這裡	戻ってくるまでカードはこの場に残る	카드는 당신이 돌아올 때까지 여기에 있을 것입니다
label_island_intro_1		Welcome to the Island	Welkom op het Eiland	Bienvenue sur l'île	Ti diamo il benvenuto sull'Isola	Willkommen auf der Insel	Has llegado a la isla	Você chegou na Ilha	Witaj na Wyspie!	欢迎来到海岛	歡迎來到這座小島	島へようこそ	섬에 오신 것을 환영합니다
label_island_intro_2		While at the Island you won't have to take care of the Mainland	Als je op het Eiland zit, hoef je niet voor je Thuisbasis te zorgen	Tant que vous êtes sur l'île, vous n'avez pas à vous soucier de ce qui se passe sur le continent	Mentre sei sull'Isola non dovrai prenderti cura della Terraferma	Während du auf der Insel bist, musst du dich nicht, um das Festland kümmern.	Mientras estás en la isla no tienes que preocuparte por lo que has dejado en tierra firme.	Enquanto estiver na Ilha, você não precisará cuidar da Aldeia Principal.	Podczas pobytu na Wyspie nie musisz zajmować się osadą na Kontynencie	在岛上时你就不用管大陆了	在小島的期間不需要顧及主要大陸	島にいる間は本土の事は気にしなくても大丈夫	섬에 있는 동안은 육지를 신경 쓰지 않아도 됩니다
label_island_intro_3		You can go back to the Mainland at any time using the Rowboat	Je kunt op elk moment teruggaan naar de Thuisbasis met de Roeiboot	Vous pouvez retourner sur le continent à tout moment en utilisant la barque	Puoi tornare sulla Terraferma in qualsiasi momento usando la Barca a remi	Du kannst mithilfe des Ruderboots jederzeit zum Festland zurückkehren.	Puedes volver a tierra firme en cualquier momento usando la barca de remos.	Você pode voltar à Aldeia Principal a qualquer momento usando o Barco a Remo.	Możesz w dowolnej chwili wrócić na Kontynent, korzystając z Łodzi Wiosłowej	你可以随时用划艇回到大陆	你可以隨時開著小船回到主要大陸	手漕ぎ船を使えばいつでも本土に戻れるぞ	노로 젓는 배를 이용해 언제든지 육지로 돌아갈 수 있습니다
label_island_intro_4		The Rowboat can only carry a single card - other Boats allow you to bring more cards back and forth	De Roeiboot kan slechts één Kaart vervoeren. Met andere Boten kun je meerdere kaarten vervoeren	La barque ne peut transporter qu'une seule carte, d'autres embarcations peuvent vous permettre de transporter plus de cartes	La Barca a remi può trasportare una sola carta: le altre Barche ti consentono di portare più carte avanti e indietro.	Das Ruderboot kann nur eine einzige Karte transportieren – mit anderen Schiffen kannst du mehrere Karten hin- und hertransportieren.	Con la barca de remos solo puedes llevar una carta, pero podrás llevar y traer más con otros tipos de barcos.	O Barco a Remo só pode carregar uma carta. Outros tipos de barco permitem transportar maiores quantidades de cartas.	Łódź Wiosłowa może transportować jedną kartę. Inne Łodzie umożliwią ci przenoszenie większej ich liczby.	划艇只能携带1张卡牌，但其他船只能允许你带更多的卡牌往返	小船只能裝一張卡牌——其他的船可以讓你往返帶回更多卡片	手漕ぎ船はカードを1枚しか運べない。他の船はカードをもっと運搬できるぞ	노로 젓는 배는 하나의 카드만 옮길 수 있습니다. 다른 배로 더 많은 카드를 앞뒤로 옮길 수 있습니다
label_island_intro_5		If all your Villagers die, you will be returned to the Mainland	Als al je Dorpelingen overlijden, keer je terug naar je Thuisbasis	Si tous vos Villageois meurent, vous retournez automatiquement sur le continent	Se tutti i tuoi Abitanti del villaggio muoiono, tornerai sulla Terraferma.	Sollten all deine Dorfbewohner sterben, kehrst du zum Festland zurück.	Si todos tus aldeanos mueren, volverás a tierra firme.	Se os seus Aldeões morrerem, você volta para a Aldeia Principal.	Jeśli wszyscy twoi Wieśniacy zginą, powrócisz na Kontynent	如果所有的村民都死了，你将被送回大陆	如果你全部的村民死掉，你將會回到主要大陸	島の村人が全滅したら、本土に戻されるぞ	모든 주민이 죽으면, 육지로 돌아가게 됩니다
label_island_intro_6		Good luck!	Veel succes!	Bonne chance !	Buona fortuna!	Viel Erfolg!	¡Que tengas suerte!	Boa sorte!	Powodzenia!	祝你好运！	祝你好運！	頑張って！	행운을 빕니다!
label_island_intro_pack_text		You got a pack for beating the Demon	Je hebt een Pakje ontvangen voor het verslaan van de Demon	Vous avez reçu un pack pour avoir vaincu le Démon	Hai ricevuto un pacchetto per aver battuto il Demone	Du hast für deinen Sieg über den Dämon ein Paket erhalten.	Has conseguido un paquete por derrotar al demonio.	Você recebeu um pacote por derrotar o Demônio.	Otrzymujesz Pakiet za pokonanie Demona	你有一个能击败恶魔的卡包	打敗魔王讓你得到一個牌組	デーモン討伐の報酬にパックを貰った	악마를 이겨서 팩 하나를 받았습니다
label_island_intro_pack_title		Nice!	Mooi!	Cool !	Bene!	Toll!	¡Mola!	Isso aí!	Nieźle!	很好！	很好！	ナイスだ！	멋지네요!
label_island_intro_title		The Island!	Het Eiland!	L'île !	L'Isola!	Die Insel!	¡La isla!	A Ilha!	Wyspa!	海岛！	小島！	島だ！	섬!
label_join_our_discord		Join our Discord	Kom bij onze Discord	Rejoignez notre Discord	Unisciti a noi su Discord	Discord-Server beitreten	Únete a nuestro canal de Discord	Participe do nosso Discord	Dołącz do naszego Discorda	加入我们的Discord	加入我們的Discord	Discordに参加する	디스코드에 들어오세요
label_main_quests		Main Quests	Hoofdopdrachten	Quêtes principales	Missioni principali	Haupt-Quests	Misiones principales	Missões Principais	Zadania główne	主任务	主要任務	メインクエスト	메인 퀘스트
label_momma_crab_appeared_text		She seems angry..	Ze lijkt een beetje boos...	Elle n'a pas l'air commode…	Sembra arrabbiata...	Sie scheint erbost zu sein …	Creo que está cabreada...	Ela parece furiosa...	Wygląda na wściekłą...	她好像很生气……	她好像在生氣……	彼女はどうやら怒っているようだ…	화나 보입니다..
label_momma_crab_appeared_title		Momma Crab Appeared	Er verschijnt een Moederkrab	Une maman crabe est apparue	È apparsa Mamma granchio	Mama-Krabbe erscheint	Mamá cangrejo ha aparecido.	A Mamãe Caranguejo apareceu.	Pojawia się Krab-Matka	螃蟹妈妈出现了	螃蟹媽媽出現了	ママガニが現れた	엄마 게 등장
label_no_ideas_yet		You haven't found any Ideas yet	Je hebt nog geen Ideeën gevonden	Vous n'avez pas encore trouvé d'idées	Non hai ancora trovato nessuna Idea	Du hast noch keine Ideen gefunden	Todavía no has encontrado ninguna idea.	Você não encontrou nenhuma Ideia ainda.	Nie masz jeszcze żadnych Pomysłów	你还没有找到任何主意	你還沒找到任何一個點子	アイデアをまだ一つも見つけていない	아직 아무 아이디어도 찾지 못했습니다
label_one_villager_needs_to_stay		At least one Villager needs to stay on the Mainland	Er moet minstens één Dorpeling achterblijven in de Thuisbasis	Au moins un Villageois doit rester sur le continent	Almeno un Abitante del villaggio deve rimanere sulla Terraferma	Mindestens ein Dorfbewohner muss auf dem Festland zurückbleiben	Necesitas dejar al menos un aldeano en tierra firme.	Ao menos um Aldeão precisa permanecer na Aldeia Principal.	Przynajmniej jeden Wieśniak musi pozostać na Kontynencie	最少一个村民须留在大陆	至少需要一個村民留在主要大陸	少なくとも1人、村人は本土に残る必要がある	적어도 한명의 주민이 육지에 머물러야 합니다
label_pirate_boat_appeared		A Pirate Boat appeared	Er verschijnt een Piratenboot	Un bateau pirate est apparu	È apparsa una Nave pirata	Ein Piratenschiff erscheint	Ha aparecido un barco pirata.	Um Barco Pirata surgiu.	Pojawia się Piracka Łódka	一艘海盗船出现了	一艘海盜船出現了	海賊船が現れた	해적선 등장
label_quests_complete_more_to_see		Complete more quests to see the next ones	Maak meer Opdrachten af om de volgende te zien	Réussissez d'autres quêtes pour afficher les suivantes	Completa altre missioni per vedere quelle successive	Schließe weitere Quests ab, um die nächsten zu sehen	Completa más misiones para ver las siguientes.	Conclua mais missões para ver as próximas.	Ukończ więcej zadań, by zobaczyć kolejne	完成更多任务后来查看下一个	完成更多的任務來揭曉下一個	次のクエストを見るにはクエストをもっと完了するんだ	다음 퀘스트를 보려면 더 많은 퀘스트를 완료하세요
label_return_to_mainland		Return to Mainland	Keer terug naar de Thuisbasis	Retourner sur le continent	Torna sulla Terraferma	Zum Festland zurückkehren	Volver a tierra firme	Voltar à Aldeia Principal	Wróć na Kontynent	返回大陆	回到主要大陸	本土に戻る	육지로 돌아가기
label_rumor_full		Rumor: [name]	Gerucht: [name]	Rumeur : [name]	Diceria: [name]	Gerücht: [name]	Rumor: [name]	Rumor: [name]	Plotka: [name]	谣言：[name]	傳聞：[name]	噂：[name]	소문: [name]
label_sailing_off_title		Sail Off	Uitvaren	Naviguer	Salpa	Lossegeln	Navegar	Navegar	Odpłyń	扬帆远航	出航	出航する	항해하기
label_save_game		<b>Save [save_index]</b> - [percentage] complete - last played [date]	<b>Opgeslagen spel [save_index]</b> - [percentage] voltooid - laatst gespeeld op [date]	<b>Sauvegarde [save_index]</b> - terminé à [percentage] - dernière session [date]	<b>Salva [save_index]</b> - Completato: [percentage] - Ultima partita [date]	<b>Spielstand [save_index]</b> - [percentage] abgeschlossen – zuletzt gespielt [date]	<b>Partida [save_index]</b> - [percentage] completado - jugado por última vez el [date]	<b>Jogo Salvo [save_index]</b> - [percentage] concluído - último jogo [date]	<b>Zapisz [save_index]</b> – ukończono: [percentage] – ostatnia gra: [date]	<b>存档 [save_index]</b> - [percentage] 完成 - 最后游戏时间： [date]	<b>存檔[save_index]</b>——完成[percentage]——上次遊玩日[date]	<b>セーブ [save_index]</b> - [percentage] 完了 - 最終プレイ [date]	<b>저장 [save_index]</b> - [percentage] 완료 - 마지막 플레이 [date]
label_save_games		Save Game	Spel opslaan	Sauvegarder	Salva partita	Spiel speichern	Guardar partida	Salvar Jogo	Zapisz grę	保存游戏	儲存遊戲	ゲームをセーブする	게임 저장
label_select_save		Select Save	Opgeslagen spel selecteren	Choisir une sauvegarde	Seleziona salvataggio	Spielstand auswählen	Seleccionar partida	Selecionar Jogo Salvo	Wybierz zapis	选择存档	選擇存檔	セーブの選択	저장 항목 선택
label_side_quests		Side Quests	Extra opdrachten	Quêtes secondaires	Missioni secondarie	Neben-Quests	Misiones secundarias	Missões Secundárias	Zadania poboczne	支线任务	支線任務	サイドクエスト	사이드 퀘스트
label_start_new_save		<b>Save [save_index]</b> - start new save	<b>Opgeslagen spel [save_index]</b> - Begin nieuw spel	<b>Sauvegarde [save_index]</b> - nouvelle sauvegarde	<b>Salva [save_index]</b> - Avvia un nuovo salvataggio	<b>Spielstand [save_index]</b> – neuen Spielstand starten	<b>Partida [save_index]</b> - comenzar nueva partida	<b>Jogo Salvo [save_index]</b> - iniciar novo jogo	<b>Zapis [save_index]</b> – stwórz nowy zapis	<b>存档 [save_index]</b> - 开始新存档	<b>存檔[save_index]</b>——開始新的存檔	<b>セーブ [save_index]</b> - 新しくセーブする	<b>저장 [save_index]</b> - 새로운 저장 항목에서 시작하기
label_status_effect		Status: [status]	Status: [status]	Statut : [status]	Stato: [status]	Status: [status]	Estado: [status]	Condição: [status]	Status: [status]	状态：[status]	狀態：[status]	ステータス：[status]	상태: [status]
label_time		Time	Tijd	Heure	Tempo	Zeit	Tiempo	Hora	Czas	时间	時間	時間	시간
label_you_killed_the_demon_lord		You killed the Demon Lord	Je hebt de Heer der Demonen verslagen!	Vous avez terrassé le Seigneur démoniaque !	Hai ucciso il Signore dei demoni	Du hast den Dämonenfürsten erledigt	Has matado al Señor Demoníaco.	Você matou o Lorde Demônio.	Udało ci się zabić Pana Demonów	你杀死了恶魔领主！	你消滅了惡魔之王	デーモンロードを討伐したぞ	악마 군주를 죽였습니다
pack_island_advanced_text		Advanced Archipelago	Erkende eilandengroep	Archipel avancé	Arcipelago avanzato	Immense Inselgruppe	Archipiélago avanzado	Arquipélago Avançado	Zaawansowany Archipelag	高级群岛	先進的群島	先進列島	상급 군도
pack_island_cooking_text		Grilling and Brewing	Grillen en brouwen	Barbecue et distillation	Grigliata e distillazione	Grillen und Chillen	Parrilla y destilación	Grelha e Fermentação	Grillowanie i Warzenie	烧烤和酿造	燒烤與釀造	飲めや歌えや	굽고 양조하는 중
pack_island_ideas1_text		Island of Ideas	Eiland vol ideeën	Île d'idées	Isola delle Idee	Insel der Ideen	Isla de ideas	Ilha de Ideias	Wyspa Pomysłów	主意之岛	點子小島	島いっぱいのアイデア	아이디어의 섬
pack_island_ideas2_text		Island Insights	Eiland-inzichten	Pensées insulaires	Informazioni sull'Isola	Insel-Einblicke	Conocimientos de la isla	Revelações da Ilha	Obserwacje z Wyspy	岛之洞察	小島洞察	島の探検	섬 통찰력
pack_island_intro_text		The Island?	Het Eiland?	Une île ?	L'Isola?	Die Insel?	¿Una isla?	A Ilha?	Wyspa?	海岛？	小島？	何処の島？	섬?
pack_island_locations_text		Enclave Explorers	Enclave-verkenners	Explorateurs marins	Esploratori dell'enclave	Enklaven-Entdecker	Exploradores del enclave	Exploradores do Enclave	Odkrywcy z Enklawy	飞地探索者	孤立探險者	方領の探索者	소수민족 탐험가
pack_island1_text		Fresh Isle	Nieuw eiland	Nouvelle île	Nuova isola	Neue Insel	Isla inexplorada	Ilha Nova	Nowa Wyspa	新的岛	新的小島	新鮮な土地	새로운 섬
pack_island2_text		On The Shore	Aan de kust	Sur le rivage	Sulla spiaggia	An der Küste	A la orilla del mar	Costeiro	Na Brzegu	在岸边	在岸上	浜辺で	해안에서
quest_befriend_a_pirate_text		Befriend a Pirate	Bevriend een Piraat	Amitié pirate	Fai amicizia con un Pirata	Freunde dich mit einem Piraten an	Entabla amistad con un pirata.	Fique amigo de um Pirata	Zaprzyjaźnij się z Piratem	与一个海盗交朋友	跟海盜做朋友	海賊を仲間に加えよう	해적 아군으로 삼기
quest_bribe_pirate_boat_text		Bribe a Pirate Boat	Koop een Piraat om	Soudoyer un bateau pirate	Corrompi una Nave pirata	Besteche ein Piratenschiff	Soborna a un barco pirata.	Suborne um Barco Pirata	Przekup Piracką Łódkę	贿赂一艘海盗船	賄賂海盜船	海賊船に賄賂を渡そう	해적선에 뇌물 주기
quest_build_cathedral_text		Build a Cathedral on the Mainland	Bouw een Kathedraal in de Thuisbasis	Construire une Cathédrale sur le continent	Costruisci una Cattedrale sulla Terraferma	Baue auf dem Festland eine Kathedrale	Construye una catedral en tierra firme.	Construa uma Catedral na Aldeia Principal	Zbuduj Katedrę na Kontynencie	在大陆修建一座大教堂	在主要大陸建造一個大教堂	本土に大聖堂を建造するんだ	육지에 대성당 건축하기
quest_build_composter_text		Build a Composter	Bouw een Compostvat	Construire un Composteur	Costruisci una Compostiera	Baue einen Komposter	Fabrica una compostera.	Construa uma Composteira	Zbuduj Kompostownik	修建一个堆肥	建造一個堆肥桶	コンポスターを建設するんだ	퇴비상자 만들기
quest_build_fish_trap_text		Build a Fish Trap	Maak een Visfuik	Fabriquer un Piège à poissons	Costruisci una Trappola per pesci	Stelle eine Fischfalle her	Fabrica una trampa para peces.	Faça uma Armadilha de Peixe	Zbuduj Pułapkę na Ryby	修建一个捕鱼器	建造一個捕魚籠	簗を作るんだ	물고기 덫 만들기
quest_build_greenhouse_text		Build a Greenhouse	Bouw een Kas	Construire une Serre	Costruisci una Serra	Baue ein Gewächshaus	Construye un invernadero.	Construa uma Estufa	Zbuduj Szklarnię	修建一个温室	建造一個溫室	グリーンハウスを建設するんだ	온실 짓기
quest_build_mess_hall_text		Build a Mess Hall	Bouw een Eetzaal	Construire un Réfectoire	Costruisci una Mensa	Baue eine Kantine	Construye un comedor.	Construa um Refeitório	Zbuduj Stołówkę	修建一个食堂	建造一個食堂	食堂を建設するんだ	식당 짓기
quest_build_rowboat_text		Build a Rowboat	Maak een Roeiboot	Construire une Barque	Costruisci una Barca a remi	Baue ein Ruderboot	Construye una barca de remos.	Construa um Barco a Remo	Zbuduj Łódź Wiosłową	建造一艘划艇	建造一艘小船	手漕ぎ船を建造するんだ	노로 젓는 배 만들기
quest_build_sloop_text		Build a Sloop	Maak een Sloep	Construire un Voilier	Costruisci uno Sloop	Baue eine Schaluppe	Construye un velero.	Construa uma Chalupa	Zbuduj Slup	建造一艘单桅帆船	建造一艘單桅帆船	帆船を建造するんだ	범선 만들기
quest_catch_a_fish_text		Catch a Fish	Vang een Vis	Attraper un Poisson	Prendi un Pesce	Fange einen Fisch	Atrapa un pez.	Pegue um Peixe	Złap Rybę	捕一条鱼	抓一隻魚	魚を釣れ	물고기 잡기
quest_cook_crab_meat_text		Cook Crab Meat	Kook een Krab	Cuire de la Chair de crabe	Cuoci la Polpa di granchio	Koche Krabbenfleisch	Cocina carne de cangrejo.	Cozinhe um Caranguejo	Ugotuj Mięso Kraba	煮螃蟹肉	煮螃蟹肉	カニ肉を調理する	게 고기 요리하기
quest_crack_coconut_text		Crack a Coconut	Breek een Kokosnoot open	Ouvrir une Noix de coco	Rompi una Noce di cocco	Öffne eine Kokosnuss	Parte un coco.	Quebre um Coco	Rozłup Kokos	破开一个椰子	剖開椰子	ココナッツを割る	코코넛 깨기
quest_cure_poison_text		Cure a Poisoned Villager	Genees een vergiftigde Dorpeling	Soigner un Villageois	Cura un Abitante avvelenato	Heile einen vergifteten Dorfbewohner	Cura a un aldeano envenenado.	Cure um Aldeão envenenado	Ulecz zatrutego Wieśniaka	治疗一个中毒的村民	治療一個中毒的村民	毒に侵された村人を治療する	중독된 주민 치료하기
quest_drunk_villager_text		Get a Villager Drunk	Voer een Dorpeling dronken	Saouler un Villageois	Fai ubriacare un Abitante	Mache einen Dorfbewohner betrunken	Emborracha a un aldeano.	Deixe um Aldeão bêbado	Upij Wieśniaka	把一个村民灌醉	讓一個村民喝醉	村人を酔わせよう	주민 술에 취하게 하기
quest_find_treasure_map_text		Find a Treasure Map	Vind een Schatkaart	Trouver une Carte au trésor	Trova una Mappa del tesoro	Finde eine Schatzkarte	Encuentra un mapa del tesoro.	Encontre um Mapa do Tesouro	Znajdź Mapę Skarbów	找到一张藏宝图	找到一個藏寶圖	宝地図を発見するんだ	보물 지도 찾기
quest_find_treasure_text		Find Treasure	Vind een Schat	Trouver un Trésor	Trova un Tesoro	Finde einen Schatz	Encuentra un tesoro.	Encontre um Tesouro	Znajdź Skarb	找到宝藏	找到寶藏	宝を発見するんだ	보물 찾기
quest_forge_sacred_key_text		Forge Sacred Key	Maak een Heilige sleutel	Forger une Clé sacrée	Forgia la Chiave sacra	Schmiede einen Heiligen Schlüssel	Forja una llave sagrada.	Forje uma Chave Sagrada	Wykuj Święty Klucz	锻造神圣的钥匙	鍛造神聖鑰匙	聖なる鍵を作ろう	성스러운 열쇠 주조하기
quest_get_2_bananas_text		Get 2 Bananas	Krijg 2 Bananen	Obtenir 2 Bananes	Ottieni 2 Banane	Erhalte 2 Bananen	Consigue dos plátanos.	Obtenha 2 Bananas	Zdobądź 2 Banany	拿到2根香蕉	獲得2根香蕉	バナナを2つ収穫する	바나나 2개 얻기
quest_have_shells_text		Have [count] Shells	Bezit [count] Schelpen	Accumuler [count] coquillages	Possiedi [count] Conchiglie	Erreiche [count] Muscheln	Ten [count] conchas.	Acumule [count] Conchas	Zgromadź Muszle ([count])	有[count]个贝壳	擁有[count]貝殼	貝殻を[count]枚獲得しろ	조개 껍데기 [count]개 보유
quest_island_relic_to_cathedral_text		Bring the Island Relic to the Cathedral	Breng de Eilandrelikwie naar de Kathedraal	Apporter la Relique insulaire dans la Cathédrale	Porta la Reliquia dell'Isola alla Cattedrale	Bring das Insel-Relikt zur Kathedrale	Lleva la reliquia isleña a la catedral.	Traga a Relíquia da Ilha à Catedral	Zanieś Artefakt z Wyspy do Katedry	把岛之神器带到大教堂	把小島聖物帶去大教堂	島の遺物の大聖堂に運ぼう	대성당으로 섬 유적을 가져오기
quest_kill_demon_lord_text		Kill the Demon Lord	Dood de Heer der Demonen	Terrasser le Seigneur démoniaque	Uccidi il Signore dei demoni	Erledige den Dämonenfürsten	Mata al Señor Demoníaco.	Mate o Lorde Demônio	Zabij Pana Demonów	杀死恶魔领主	消滅惡魔之王	デーモンロードを退治する	악마 군주 죽이기
quest_kill_kraken_text		Kill the Kraken	Dood de Kraken	Tuer le Kraken	Uccidi il Kraken	Erledige den Kraken	Mata al kraken.	Mate o Kraken	Zabij Krakena	杀死北海巨妖	消滅海怪克拉肯	クラーケンを退治する	크라켄 죽이기
quest_kill_momma_crab_text		Kill Momma Crab	Dood de Moederkrab	Tuer la Maman crabe	Uccidi Mamma granchio	Erledige Mama-Krabbe	Mata a mamá cangrejo.	Mate a Mamãe Caranguejo	Zabij Krab-Matkę	杀死螃蟹妈妈	消滅螃蟹媽媽	ママガニを退治する	엄마 게 죽이기
quest_make_ceviche_text		Make Ceviche	Maak Ceviche	Préparer un Ceviche	Prepara il Ceviche	Stelle Ceviche her	Prepara ceviche.	Faça Ceviche	Przygotuj Ceviche	制作酸桔汁腌鱼	製作酸橘汁醃魚	セビーチェを調理するんだ	세비체 만들기
quest_make_fish_trap_text		Make a Fish Trap	Maak een Visfuik	Fabriquer un Piège à poissons	Produci una Trappola per pesci	Stelle eine Fischfalle her	Fabrica una trampa para peces.	Faça uma Armadilha de Peixe	Zbuduj Pułapkę na Ryby	修建一个捕鱼器	製作一個捕魚籠	簗を作るんだ	물고기 덫 만들기
quest_make_glass_text		Make Glass	Maak Glas	Fabriquer du Verre	Produci il Vetro	Stelle Glas her	Produce cristal.	Faça Vidro	Stwórz Szkło	制造玻璃	製作玻璃	ガラスを作るんだ	유리 만들기
quest_make_gold_bar_text		Make a Gold Bar	Maak een Goudstaaf	Couler un Lingot d'or	Produci un Lingotto d'oro	Stelle einen Goldbarren her	Produce una barra de oro.	Faça uma Barra de Ouro	Stwórz Sztabkę Złota	制作一根金条	製作一個金條	金の延べ棒を作るんだ	금괴 만들기
quest_make_rope_text		Make Rope	Maak Touw	Fabriquer une Corde	Fai una Corda	Stelle ein Seil her	Crea una cuerda.	Faça uma Corda	Stwórz Linę	制作绳子	製作繩子	ロープを作るんだ	밧줄 만들기
quest_make_rum_text		Make a Bottle of Rum	Maak een Fles rum	Distiller une Bouteille de rhum	Fai una Bottiglia di rum	Stelle eine Flasche Rum her	Produce una botella de ron.	Faça uma Garrafa de Rum	Stwórz Butelkę Rumu	酿造一瓶朗姆酒	製作一個蘭姆酒瓶	ラム酒を作るんだ	럼주 한 병 만들기
quest_make_sail_text		Make a Sail	Maak een Zeil	Fabriquer une Voile	Fai una Vela	Stelle ein Segel her	Fabrica una vela.	Faça uma Vela	Stwórz Żagiel	制作一张帆	製造一個風帆	帆を作るんだ	돛 만들기
quest_make_sandstone_text		Make Sandstone	Maak Zandsteen	Fabriquer du Grès	Fai l'Arenaria	Stelle Sandstein her	Produce arenisca.	Produza Arenito	Pozyskaj Piaskowiec	制作一块砂岩	製造沙岩	砂岩を作るんだ	사암 만들기
quest_make_seafood_stew_text		Make a Seafood Stew	Maak een Visstoofpot	Préparer une Soupe de poisson	Cuoci uno Stufato di frutti di mare	Koche einen Meeresfrüchte-Eintopf	Cocina un estofado de marisco.	Faça um Ensopado de Frutos do Mar	Przyrządź Gulasz z Owocami Morza	制作一份炖海鲜	製作一道海鮮燉菜	シーフードシチューを調理するんだ	해물 스튜 만들기
quest_make_sushi_text		Make Sushi	Maak Sushi	Préparer un Sushi	Prepara il Sushi	Bereite Sushi zu	Prepara sushi.	Prepare um Sushi	Przyrządź Sushi	制作寿司	製作壽司	スシを調理するんだ	초밥 만들기
quest_open_message_in_a_bottle_text		Open a Message in a Bottle	Open Flessenpost	Lire un Message dans une bouteille	Apri un Messaggio in una bottiglia	Öffne eine Flaschenpost	Abre un mensaje en una botella.	Abra uma Mensagem Engarrafada	Otwórz List w Butelce	打开一个瓶中信	打開瓶中信	瓶のメッセージを開けるんだ	병 속에 든 편지 열기
quest_open_sacred_chest_text		Open the Sacred Chest	Open de Heilige kist	Ouvrir un Coffre sacré	Apri il Baule sacro	Öffne die Heilige Truhe	Abre el cofre sagrado.	Abra um Baú Sagrado	Otwórz Świętą Skrzynię	打开神圣的宝箱	打開神聖箱子	聖なる箱を開けるんだ	성스러운 상자 열기
quest_poisoned_villager_text		Have a Poisoned Villager	Krijg een vergiftigde Dorpeling	Découvrir un Villageois empoisonné	Possiedi un Abitante avvelenato	Habe einen vergifteten Dorfbewohner	Ten un aldeano envenenado.	Tenha um Aldeão envenenado	Niech jeden z Wieśniaków się zatruje	有一个中毒的村民	擁有一個中毒的村民	村人が毒に侵される	주민 중독시키기
quest_punch_driftwood_text		Punch some Driftwood	Sla wat Drijfhout	Exploiter du Bois flottant	Colpisci del Legname	Schlage etwas Treibholz	Golpea madera flotante.	Esmurre uma Madeira de Deriva.	Uderz w Drewno z Nabrzeża	击打一些浮木	用力敲打漂流木	流木を集めよう	유목 채취하기
quest_train_a_fisher_text		Train a Fisher	Train een Visser	Former un Pêcheur	Addestra un Pescatore	Trainiere einen Fischer	Entrena a un pescador.	Treine um Pescador	Wyszkól Rybaka	训练一位渔夫	訓練一位漁夫	漁師を育成する	낚시꾼 훈련하기
quest_train_captain_text		Train a Captain	Train een Kapitein	Former un Capitaine	Addestra un Capitano	Trainiere einen Kapitän	Entrena a un capitán.	Treine um Capitão	Wyszkól Kapitana	训练一位船长	訓練一位船長	船長を育成する	선장 훈련하기
quest_unlock_all_island_packs_text		Unlock all Island Packs	Ontgrendel alle Eilandpakjes	Débloquer tous les packs insulaires	Sblocca tutti i Pacchetti dell'Isola	Schalte alle Insel-Pakete frei	Desbloquea todos los paquetes de la isla.	Desbloqueie todos os Pacotes da Ilha	Odblokuj wszystkie Pakiety z Wyspy	解锁所有海岛卡包	解鎖所有小島牌組	アイランドパックをアンロックする	모든 섬 팩 작금 해제하기
questgroup_building		Construction	Bouw	Construction	Costruzione	Bau	Construcción	Construção	Budowa	建筑	建造	建設	건설
questgroup_cooking		Potluck	Potluck	Cuisine	Rinfresco	Buffet	Comida	Panela de Sorte	Potlacz	家常便饭	家常便飯	闇鍋	포트럭
questgroup_exploration		Discovery	Ontdekken	Exploration	Scoperta	Entdeckung	Descubrimientos	Descoberta	Odkrycia	发现	發現	探索	발견
questgroup_fighting		Power & Skill	Kracht en vaardigheid	Compétences	Potenza e abilità	Kraft & Können	Poder y habilidades	Poder e Habilidade	Siła i umiejętności	力量与技巧	力量&技能	力と技	파워 & 스킬
questgroup_island		Island Ambitions	Eiland-ambities	Ambitions insulaires	Ambizioni dell'Isola	Insel-Bestrebungen	Ambiciones de la isla	Ambições da Ilha	Wyspiarskie ambicje	岛之野心	小島野心	島の野望	섬 야망
questgroup_island_beginnings		Marooned	Gestrand	Naufragé	Abbandonato	Gestrandet	Abandonados	Encalhado	Wyrzuceni na brzeg	陷入困境	孤立無援	座礁	고립
questgroup_island_combat		Enclave Encounters	Enclave-gevechten	Rencontres maritimes	Incontri dell'enclave	Enklaven-Gefechte	Encuentros en el enclave	Encontros do Enclave	Spotkania w enklawie	飞地邂逅	孤立衝突	方領の戦い	소수 민족과의 만남
questgroup_island_cooking		Island Grub	Eilandvoedsel	Plats insulaires	Sbobba dell'Isola	Insel-Essen	Papeo isleño	Grude da Ilha	Żarcie z Wyspy	岛之幼虫	小島幼蟲	島のクッキング	섬 음식
