"Term"	"Notes"	"Ukrainian"
"card_sloop_description"	""	"Може перевозити 10 карт. Потребує селянина для відплиття. Не може перевозити будівлі"
"card_sloop_name"	""	"Шлюпка"
"card_smelter_description"	""	"Обробляє різні матеріали, переплавляючи їх"
"card_smelter_name"	""	"Плавильня"
"card_smelter_status"	""	"Переплавляє"
"card_snake_description"	""	"Плазуча, отруйна істота"
"card_snake_name"	""	"Змія"
"card_sugar_cane_description"	""	"It's candy flavored grass"
"card_sugar_cane_name"	""	"Sugar Cane"
"card_sugar_cane_status"	""	"Harvesting Sugar Cane"
"card_sugar_description"	""	"Very sweet!"
"card_sugar_name"	""	"Cane Sugar"
"card_sushi_description"	""	"A delicious treat"
"card_sushi_name"	""	"Суші"
"card_tamago_sushi_description"	""	"Egg flavored sushi"
"card_tamago_sushi_name"	""	"Tamago Sushi"
"card_tentacle_description"	""	"Wiggle wiggle wiggle"
"card_tentacle_name"	""	"Tentacle"
"card_tiger_description"	""	"A very strong cat"
"card_tiger_name"	""	"Tiger"
"card_trained_monkey_description"	""	"Can help you out with chores. Turns back into a normal Monkey at the end of the Moon"
"card_trained_monkey_name"	""	"Trained Monkey"
"card_treasure_map_description"	""	"X marks the spot. Needs to be searched with a Villager"
"card_treasure_map_name"	""	"Treasure Map"
"card_treasure_map_status"	""	"Looking for Treasure"
"card_tuna_name"	""	"Tuna"
"card_wool_description"	""	"М'який ресурс"
"card_wool_name"	""	"Вовна"
"cardtype_fish"	""	"Риба"
"cardtype_rumors"	""	"Rumors"
"empty"	"Intentionally left blank"	""
"idea_aquarium_status_0"	""	"Building Aquarium"
"idea_befriending_pirate_status"	""	"Befriending Pirate"
"idea_bottle_status_0"	""	"Making Bottle"
"idea_cathedral_status_0"	""	"Building Cathedral"
"idea_ceviche_status"	""	"Making Ceviche"
"idea_charcoal_status"	""	"Making Charcoal"
"idea_charcoal_status_0"	""	"Making Charcoal"
"idea_compass_status"	""	"Making Compass"
"idea_composter_status"	""	"Building Composter"
"idea_composting_status"	""	"Composting"
"idea_cooked_crab_meat_status_0"	""	"Cooking Crab Meat"
"idea_cooked_fish_status_0"	""	"Смажить рибу"
"idea_cracking_coconut_status"	""	"Розбиває кокос"
"idea_distillery_status"	""	"Будує дистилятор"
"idea_eating_charcoal"	""	"Removing Poison"
"idea_fabric_status"	""	"Робить тканину"
"idea_filling_bottle_of_water"	""	"Заповнює пляшку"
"idea_fish_trap_status"	""	"Будує пастку для риби"
"idea_fishing_rod_status"	""	"Робить вудочку"
"idea_frigate_status0"	""	"Будує фрегат"
"idea_greenhouse_status_0"	""	"Будує теплицю"
"idea_growth_name_status_10"	""	"Growing Chili Pepper"
"idea_growth_name_status_9"	""	"Growing Lime"
"idea_growth_status_6"	""	"Growing Banana Tree"
"idea_growth_status_7"	""	"Growing Coconut Tree"
"idea_growth_status_8"	""	"Growing Cotton Plant"
"idea_mess_hall_status"	""	"Building Mess Hall"
"idea_rope_status"	""	"Робить мотузку"
"idea_rowboat_status0"	""	"Будує весловий човен"
"idea_rum_status"	""	"Робить ром"
"idea_sacred_key_status0"	""	"Кує Священний ключ"
"idea_sail_status0"	""	"Створює вітрило"
"idea_sand_quarry_status"	""	"Будує піщаний кар'єр"
"idea_sandstone_status"	""	"Робить піщаник"
"idea_seafood_stew_status_0"	""	"Cooking Seafood Stew"
"idea_shell_chest_status_0"	""	"Робить скриню для мушель"
"idea_sloop_status0"	""	"Building a Sloop"
"idea_smelting_glass_status"	""	"Робить скло"
"idea_smelting_status_2"	""	"Виплавляє золото"
"idea_smelting_status_3"	""	"Making Coin"
"idea_sushi_status"	""	"Робить суші"
"idea_tamago_sushi_status"	""	"Making Tamago Sushi"
"idea_training_captain_status"	""	"Training Captain"
"idea_training_fisher_status"	""	"Training Fisher"
"idea_training_monkey_status"	""	"Тренує мавпу"
"ideagroup_fishing"	""	"Ловить рибу"
"ideagroup_important"	""	"Важливе"
"ideagroup_island"	""	"З острова"
"ideagroup_sailing"	""	"Морські"
"label_a_rumor"	""	"A Rumor"
"label_awakened_something"	""	"Ви щось пробудили..."
"label_awakened_the_kraken"	""	"Це кракен!"
"label_card_cap"	""	"Card Cap"
"label_complete_more_island_quests_for_pack"	""	"<one>Complete 1 more Island Quest to unlock this Pack!<other>Complete [remaining] more Island Quests to unlock this Pack!"
"label_everyone_on_island_dead"	""	"Усі на острові померли"
"label_everyone_on_island_dead_text"	""	"Ваші карти залишаться тут до вашого повернення"
"label_island_intro_1"	""	"Вітаємо на острові"
"label_island_intro_2"	""	"Коли ви на острові, вам не треба хвилюватися про материк"
"label_island_intro_3"	""	"Ви можете повернутися на материк у будь-який час, скориставшись човном"
"label_island_intro_4"	""	"The Rowboat can only carry a single card - other Boats allow you to bring more cards back and forth"
"label_island_intro_5"	""	"If all your Villagers die, you will be returned to the Mainland"
"label_island_intro_6"	""	"Удачі!"
"label_island_intro_pack_text"	""	"You got a pack for beating the Demon"
"label_island_intro_pack_title"	""	"Круть!"
"label_island_intro_title"	""	"Острів!"
"label_join_our_discord"	""	"Доєднуйся до нас у Discord"
"label_main_quests"	""	"Основні доручення"
"label_momma_crab_appeared_text"	""	"Вона виглядає розлюченою..."
"label_momma_crab_appeared_title"	""	"Momma Crab Appeared"
"label_no_ideas_yet"	""	"You haven't found any Ideas yet"
"label_one_villager_needs_to_stay"	""	"At least one Villager needs to stay on the Mainland"
"label_pirate_boat_appeared"	""	"A Pirate Boat appeared"
"label_quests_complete_more_to_see"	""	"Complete more quests to see the next ones"
"label_return_to_mainland"	""	"Return to Mainland"
"label_rumor_full"	""	"Rumor: [name]"
"label_sailing_off_title"	""	"Sail Off"
"label_save_game"	""	"<b>Save [save_index]</b> - [percentage] complete - last played [date]"
"label_save_games"	""	"Save Game"
"label_select_save"	""	"Вибрати збереження"
"label_side_quests"	""	"Side Quests"
"label_start_new_save"	""	"<b>Save [save_index]</b> - start new save"
"label_status_effect"	""	"Status: [status]"
"label_time"	""	"Time"
"label_you_killed_the_demon_lord"	""	"You killed the Demon Lord"
"pack_island_advanced_text"	""	"Advanced Archipelago"
"pack_island_cooking_text"	""	"Grilling and Brewing"
"pack_island_ideas1_text"	""	"Island of Ideas"
"pack_island_ideas2_text"	""	"Island Insights"
"pack_island_intro_text"	""	"The Island?"
"pack_island_locations_text"	""	"Enclave Explorers"
"pack_island1_text"	""	"Fresh Isle"
"pack_island2_text"	""	"On The Shore"
"quest_befriend_a_pirate_text"	""	"Befriend a Pirate"
"quest_bribe_pirate_boat_text"	""	"Bribe a Pirate Boat"
"quest_build_cathedral_text"	""	"Build a Cathedral on the Mainland"
"quest_build_composter_text"	""	"Build a Composter"
"quest_build_fish_trap_text"	""	"Build a Fish Trap"
"quest_build_greenhouse_text"	""	"Побудувати теплицю"
"quest_build_mess_hall_text"	""	"Побудувати їдальню"
"quest_build_rowboat_text"	""	"Побудувати весловий човен"
"quest_build_sloop_text"	""	"Побудувати шлюпку"
"quest_catch_a_fish_text"	""	"Спіймати рибу"
"quest_cook_crab_meat_text"	""	"Приготувати м'ясо краба"
"quest_crack_coconut_text"	""	"Розбити кокос"
"quest_cure_poison_text"	""	"Вилікувати отруєного селянина"
"quest_drunk_villager_text"	""	"Get a Villager Drunk"
"quest_find_treasure_map_text"	""	"Знайти карту скарбів"
"quest_find_treasure_text"	""	"Знайти скарб"
"quest_forge_sacred_key_text"	""	"Викуйте Священний ключ"
"quest_get_2_bananas_text"	""	"Отримайте 2 банани"
"quest_have_shells_text"	""	"Зберіть [count] мушель"
"quest_island_relic_to_cathedral_text"	""	"Принесіть реліквію острова до собору"
"quest_kill_demon_lord_text"	""	"Убийте лорда демонів"
"quest_kill_kraken_text"	""	"Убийте кракена"
"quest_kill_momma_crab_text"	""	"Kill Momma Crab"
"quest_make_ceviche_text"	""	"Make Ceviche"
"quest_make_fish_trap_text"	""	"Створити пастку для риби"
"quest_make_glass_text"	""	"Створити скло"
"quest_make_gold_bar_text"	""	"Створити золотий злиток"
"quest_make_rope_text"	""	"Створити мотузку"
"quest_make_rum_text"	""	"Створити пляшку рома"
"quest_make_sail_text"	""	"Створити парус"
"quest_make_sandstone_text"	""	"Створити піщаник"
"quest_make_seafood_stew_text"	""	"Створити рагу з морепродуктів"
"quest_make_sushi_text"	""	"Створити суші"
"quest_open_message_in_a_bottle_text"	""	"Відкрити повідомлення в пляшці"
"quest_open_sacred_chest_text"	""	"Відкрити Священну скриню"
"quest_poisoned_villager_text"	""	"Have a Poisoned Villager"
"quest_punch_driftwood_text"	""	"Punch some Driftwood"
"quest_train_a_fisher_text"	""	"Train a Fisher"
"quest_train_captain_text"	""	"Натренувати капітана"
"quest_unlock_all_island_packs_text"	""	"Unlock all Island Packs"
"questgroup_building"	""	"Будівництво"
"questgroup_cooking"	""	"Куховарство"
"questgroup_exploration"	""	"Дослідництво"
"questgroup_fighting"	""	"Сила та здібності"
"questgroup_island"	""	"Island Ambitions"
"questgroup_island_beginnings"	""	"Викинуті на берег"
"questgroup_island_combat"	""	"Зустрічі в анклаві"
"questgroup_island_cooking"	""	"Острівний хробак"
"questgroup_island_mainquest"	""	"Таємниця острова"
"questgroup_island_misc"	""	"Острів: Інше"
"questgroup_mainquest"	""	"Велика схема"
"questgroup_other"	""	"Інше"
"questgroup_resources"	""	"Ways and Means"
"questgroup_starter"	""	"Вступ"
"questgroup_survival"	""	"Longevity"
"rumor_eel_bait_description"	""	"When using a Fish Trap, Banana can be used to catch Eel"
"rumor_eel_bait_name"	""	"Eel Bait"
"rumor_island_description"	""	"Gold and Glass can be found on the Island"
"rumor_island_name"	""	"The Island"
"rumor_shark_bait_description"	""	"When using a Fish Trap, Raw Meat can be used to catch Shark"
"rumor_shark_bait_name"	""	"Shark Bait"
"rumor_tuna_bait_description"	""	"When using a Fish Trap, Lime can be used to catch Tuna"
"rumor_tuna_bait_name"	""	"Tuna Bait"
"statuseffect_drunk_description"	""	"Decreases work speed, decreases hit chance, increases max damage"
"statuseffect_drunk_lore"	""	"Enjoy responsibly"
"statuseffect_drunk_name"	""	"Drunk"
"statuseffect_poison_description"	""	"Deals damage every 60s"
"statuseffect_poison_lore"	""	"Dangerous poison runs through their veins, they need an antidote as soon as possible"
"statuseffect_poison_name"	""	"Poisoned"
"statuseffect_spoiling_description"	""	"Will turn into Goop after 1 Moon"
"statuseffect_spoiling_lore"	""	"Left out in the sun for a bit too long"
"statuseffect_spoiling_name"	""	"Spoiling"
"statuseffect_stunned_description"	""	"Unable to attack for 5s"
"statuseffect_stunned_lore"	""	"That hit really hurt.."
"statuseffect_stunned_name"	""	"Stunned"
"statuseffect_wellfed_description"	""	"Increases work speed"
"statuseffect_wellfed_lore"	""	"The hearty meal did them well"
"statuseffect_wellfed_name"	""	"Well Fed"
"label_sailing_off_full"	""	"Sailing Off"
"language_dutch"	""	"Голландська"
"language_french"	""	"Французька"
"language_german"	""	"Німецька"
"language_italian"	""	"Італійська"
"language_polish"	""	"Польська"
"language_spanish"	""	"Іспанська"
"credits_aran"	""	"Концепт, програмування, дизайн"
"credits_lisa"	""	"Ігровий дизайн"
"credits_sokpop"	""	"Гра від Sokpop"
"credits_local_heroes"	""	"Переклад"
"credits_special_thanks"	""	"Особлива подяка"
"label_relic_brought_to_cathedral"	""	"The Relic was brought to the Cathedral"
"label_controls"	""	"Керування"
"control_time_1"	""	"Швидкість 1x"
"control_time_2"	""	"Швидкість 5x"
"control_time_3"	""	"Швидкість 0x"
"control_time_pause"	""	"Призупинити"
"control_panel_collapse"	""	"Вмикнути бокову панель"
"control_zoom"	""	"Наближення"
"control_sell"	""	"Продати картку"
"control_time_toggle"	""	"Вмикнути час"
"control_pause"	""	"Призупинити гру"
"control_grab"	""	"Схопити"
"control_activate_UI"	""	"Активувати інтерфейс"
"control_move"	""	"Move"
"control_snap_move"	""	"Snap Move"
"control_snap_cards"	""	"Snap Cards To Grid"
"label_keyboard_mouse"	""	"Keyboard & Mouse"
"label_controller"	""	"Контролер"
"label_waiting_for_input"	""	"Waiting for input"
"label_sellbox_description"	""	"Drag Cards here to sell them. You can also use [action_sell] to sell cards."
"label_toggle_panel_text"	"Controls can now be rebound, so that the parameters will be replaced with the appropriate key"	"Press this button or press [action_panel_collapse] to toggle the Quests and Ideas Tab"
"label_auto_pause_controller"	""	"Automatically pause time when dragging cards (controller):"
"label_auto_pause_keyboardmouse"	""	"Automatically pause time when dragging cards (keyboard):"
"label_binding"	"Used when rebinding a control to a key"	"Assigning [control]"
"label_accessibility"	""	"Доступність"
"language_portuguese"	""	"Brazilian Portuguese"
"language_chinese"	""	"Chinese"
"language_japanese"	""	"Japanese"
"language_korean"	""	"Korean"
"label_progress_stored"	""	"Progress will be saved"
"label_go_to_island_prompt"	""	"Are you sure you want to travel to the Island? This will first end the current Moon and feed your Villagers"
"label_return_to_mainland_prompt"	""	"Are you sure you want to travel back to the Mainland? This will first end the current Moon and feed your Villagers"
"label_not_enough_food_before_sailing"	""	"You need to have enough Food for your Villagers before you can sail off"
"idea_growth_status_11"	""	"Growing Seaweed"
"card_market_description"	""	"Can be used to sell Cards for more than usual"
"attackdamage_veryweak"	""	"Very Weak"
"attackdamage_weak"	""	"Weak"
"attackdamage_normal"	""	"Normal"
"attackdamage_strong"	""	"Strong"
"attackdamage_verystrong"	""	"Very Strong"
"attackdamage_extremelystrong"	""	"Extremely Strong"
"attackspeed_veryslow"	""	"Very Slow"
"attackspeed_slow"	""	"Slow"
"attackspeed_normal"	""	"Normal"
"attackspeed_fast"	""	"Fast"
"attackspeed_veryfast"	""	"Very Fast"
"attackspeed_extremelyfast"	""	"Extremely Fast"
"card_amulet_of_forest_description"	""	"You feel the healing power of nature running through you"
"card_amulet_of_forest_name"	""	"Forest Amulet"
"card_amulet_of_mountain_description"	""	"It grounds you"
"card_amulet_of_mountain_name"	""	"Mountain Amulet"
"card_archer_description"	""	"Afraid to get too close"
"card_archer_name"	""	"Archer"
"card_axe_description"	""	"For chopping wood and monsters"
"card_axe_name"	""	"Axe"
"card_bear_claw_description"	""	"Cheap Wolverine knockoff"
"card_bear_claw_name"	""	"Bear Claw"
"card_blowpipe_description"	""	"Blow as hard as you can"
"card_blowpipe_name"	""	"Blowpipe"
"card_blunderbuss_description"	""	"Watch out! Could blow up in your own face"
"card_blunderbuss_name"	""	"Blunderbuss"
"card_bone_spear_description"	""	"Intimidating version of a regular Spear"
"card_bone_spear_name"	""	"Bone Spear"
"card_bone_staff_description"	""	"A bone with special abilities"
"card_bone_staff_name"	""	"Bone Staff"
"card_boomerang_description"	""	"Always comes back to you"
"card_boomerang_name"	""	"Boomerang"
"card_bow_description"	""	"Makes you feel like Robin Hood"
"card_bow_name"	""	"Bow"
"card_broken_bottle_description"	""	"Cut out for the job"
"card_broken_bottle_name"	""	"Broken Bottle"
"card_builder_description"	""	"Way faster at Building"
"card_builder_name"	""	"Builder"
"card_bunny_hat_description"	""	"It's adorable!"
"card_bunny_hat_name"	""	"Rabbit Hat"
"card_chainmail_armor_description"	""	"A medieval era classic"
"card_chainmail_armor_name"	""	"Chainmail Armor"
"card_club_description"	""	"Not used for playing baseball"
"card_club_name"	""	"Club"
"card_crab_scale_armor_description"	""	"The scales are impenetrable"
"card_crab_scale_armor_name"	""	"Crab Scale Armor"
"card_crossbow_description"	""	"A gun for arrows"
"card_crossbow_name"	""	"Crossbow"
"card_dark_amulet_description"	""	"Its dark force makes you stronger"
"card_dark_amulet_name"	""	"Dark Amulet"
"card_dark_elf_description"	""	"Emo version of a regular Elf"
"card_dark_elf_name"	""	"Dark Elf"
"card_demon_sword_description"	""	"An excellent blade used by the Demon himself"
"card_demon_sword_name"	""	"Demon Sword"
"card_elf_archer_description"	""	"Elves are the best archers"
"card_elf_archer_name"	""	"Elf Archer"
"card_elf_description"	""	"Does not work for Santa Claus anymore"
"card_elf_name"	""	"Elf"
"card_enchanted_shroom_description"	""	"It's a magic shroom"
"card_enchanted_shroom_name"	""	"Enchanted Shroom"
"card_ent_description"	""	"A talking and walking tree"
"card_ent_name"	""	"Ent"
"card_feral_cat_description"	""	"Does it have rabies? Probably!"
"card_feral_cat_name"	""	"Feral Cat"
"card_fire_cloak_description"	""	"It's lit"
"card_fire_cloak_name"	""	"Fire Cloak"
"card_frog_helmet_description"	""	"Grants you frog powers"
"card_frog_helmet_name"	""	"Frog Helmet"
"card_frog_man_description"	""	"A man made of frogs"
"card_frog_man_name"	""	"Frog Man"
"card_ghost_description"	""	"Only shows up on low quality photos"
"card_ghost_name"	""	"Ghost"
"card_giant_snail_description"	""	"The French would go crazy for this one"
"card_giant_snail_name"	""	"Giant Snail"
"card_goblin_archer_description"	""	"A more talented regular Goblin"
"card_goblin_archer_name"	""	"Goblin Archer"
"card_goblin_hat_description"	""	"Goblin fashion is outdated"
"card_goblin_hat_name"	""	"Goblin Hat"
"card_goblin_shaman_description"	""	"Keeps the other Goblins happy"
"card_goblin_shaman_name"	""	"Goblin Shaman"
"card_gold_chestplate_description"	""	"Slightly overdressed for the event"
"card_gold_chestplate_name"	""	"Golden Chestplate"
"card_hammer_description"	""	"Slow and blunt but packs a punch"
"card_hammer_name"	""	"Hammer"
"card_helmet_description"	""	"It goes on top of your head. Great for cycling"
"card_helmet_name"	""	"Helmet"
"card_horned_helmet_description"	""	"Useful for strong headbuts"
"card_horned_helmet_name"	""	"Horned Helmet"
"card_iron_shield_description"	""	"A strong defense against hard blows"
"card_iron_shield_name"	""	"Iron Shield"
"card_kraken_tooth_axe_description"	""	"Left for the tooth fairy, you took it instead"
"card_kraken_tooth_axe_name"	""	"Kraken Tooth Axe"
"card_leather_tunic_description"	""	"Armor made from the finest leather"
"card_leather_tunic_name"	""	"Leather Tunic"
"card_lumberjack_description"	""	"Way faster at harvesting Wood"
"card_lumberjack_name"	""	"Lumberjack"
"card_mage_description"	""	"A post-grad Wizard"
"card_mage_name"	""	"Mage"
"card_magic_blade_description"	""	"An ordinary sword that glitters"
"card_magic_blade_name"	""	"Magic Blade"
"card_magic_broom_description"	""	"You took it from some Old Lady"
"card_magic_broom_name"	""	"Magic Broom"
"card_magic_dust_description"	""	"It looks like glitter"
"card_magic_dust_name"	""	"Magic Dust"
"card_magic_ring_description"	""	"Once it slides on your finger it grants you magic powers"
"card_magic_ring_name"	""	"Magic Ring"
"card_magic_staff_description"	""	"A long, enchanted rod"
"card_magic_staff_name"	""	"Magic Staff"
"card_magic_tome_description"	""	"An old book with spells in it"
"card_magic_tome_name"	""	"Magic Tome"
"card_magic_wand_description"	""	"A simple magic weapon"
"card_magic_wand_name"	""	"Magic Wand"
"card_merman_description"	""	"Half man, half mer"
"card_merman_name"	"It's the male version of a Mermaid"	"Merman"
"card_mimic_description"	""	"It almost got me"
"card_mimic_name"	""	"Mimic"
"card_miner_description"	""	"Way faster at harvesting Rock, Gold & Iron"
"card_miner_name"	""	"Miner"
"card_morning_star_description"	""	"Spikes on a stick"
"card_morning_star_name"	""	"Morning Star"
"card_mosquito_description"	""	"He even hates himself"
"card_mosquito_name"	""	"Mosquito"
"card_ninja_description"	""	"Silent and deadly"
"card_ninja_name"	""	"Ninja"
"card_ogre_description"	""	"Big and chunky"
"card_ogre_name"	""	"Ogre"
"card_orc_wizard_description"	""	"Mean and green"
"card_orc_wizard_name"	""	"Orc Wizard"
"card_pickaxe_description"	""	"A stick with two pointy ends"
"card_pickaxe_name"	""	"Pickaxe"
"card_pirate_hat_description"	""	"Useful for dress up parties"
"card_pirate_hat_name"	""	"Pirate Hat"
"card_pirate_sword_description"	""	"Designed for swashbucklers"
"card_pirate_sword_name"	""	"Pirate Sabre"
"card_quiver_description"	""	"Makes you more efficient"
"card_quiver_name"	""	"Quiver"
"card_rat_crown_description"	""	"Turn into the King of the Rats"
"card_rat_crown_name"	""	"Rat Crown"
"card_skull_helmet_description"	""	"Kinda messed up"
"card_skull_helmet_name"	""	"Skull Helmet"
"card_slingshot_description"	""	"Very inaccurately hurl rocks at enemies"
"card_slingshot_name"	""	"Slingshot"
"card_smithy_description"	""	"A building used for creating better weapons"
"card_smithy_name"	""	"Smithy"
"card_spiked_plank_description"	""	"For tough construction workers"
"card_spiked_plank_name"	""	"Spiked Plank"
"card_stable_portal_name"	""	"Stable Portal"
"card_stable_portal_status"	""	"Entering the Portal"
"card_staff_of_fear_description"	""	"Very scary!!"
"card_staff_of_fear_name"	""	"Staff of Fear"
"card_strange_portal_description"	""	"It looks threatening. I wonder if we can enter it?"
"card_strange_portal_name"	""	"Strange Portal"
"card_throwing_star_description"	""	"Fast and accurate, ninjas love them"
"card_throwing_star_name"	""	"Throwing Stars"
"card_tiger_fur_coat_description"	""	"Trashy but at least it makes you feel strong"
"card_tiger_fur_coat_name"	""	"Tiger Fur Coat"
"card_warrior_description"	""	"A Villager who goes to the gym"
"card_warrior_name"	""	"Warrior"
"card_wicked_witch_description"	""	"I liked her more when she was still a regular Old Lady"
"card_wicked_witch_name"	""	"Wicked Witch"
"card_wicked_witch_name_2"	""	"Old Lady"
"card_wizard_description"	""	"A villager with glitter"
"card_wizard_name"	""	"Wizard"
"card_wizard_robe_description"	""	"It's like a magical snuggie"
"card_wizard_robe_name"	""	"Wizard Robe"
"card_wolf_head_description"	""	"Perfect for furries"
"card_wolf_head_name"	""	"Wolf Head"
"card_wooden_shield_description"	""	"A basic defense against hard blows"
"card_wooden_shield_name"	""	"Дерев'яний щит"
"cardtype_equipable"	""	"Спорядження"
"control_toggle_inventory"	""	"Відкрити інвентар"
"credits_wouter"	""	"Програмування"
"defence_veryweak"	""	"Дуже слабкий"
"defence_weak"	""	"Слабкий"
"defence_normal"	""	"Нормальний"
"defence_strong"	""	"Сильний"
"defence_verystrong"	""	"Дуже сильний"
"defence_extremelystrong"	""	"Надзвичайно сильний"
"hitchance_verysmall"	""	"Дуже маленький"
"hitchance_small"	""	"Маленький"
"hitchance_normal"	""	"Нормальний"
"hitchance_high"	""	"Високий"
"hitchance_veryhigh"	""	"Дуже високий"
"hitchance_extremelyhigh"	""	"Надзвичайно високий"
"idea_amulet_of_forest_status_0"	""	"Crafting Amulet of the Forest"
"idea_amulet_of_mountain_status_0"	""	"Crafting Amulet of the Mountain"
"idea_axe_status_0"	""	"Creating an Axe"
"idea_blowpipe_status_0"	""	"Creating a Blowpipe"
"idea_blunderbuss_status_0"	""	"Creating a Blunderbuss"
"idea_bone_spear_status_0"	""	"Creating a Bone Spear"
"idea_bone_staff_status_0"	""	"Creating a Bone Staff"
"idea_boomerang_status_0"	""	"Creating a Boomerang"
"idea_bow_status_0"	""	"Creating a Bow"
"idea_broken_bottle_status_0"	""	"Smashing a Bottle"
"idea_chainmail_armor_status_0"	""	"Creating Chainmail Armor"
"idea_club_status_0"	""	"Creating a Club"
"idea_crossbow_status_0"	""	"Creating a Crossbow"
"idea_gold_chestplate_status_0"	""	"Smithing a Chestplate"
"idea_growth_status_12"	""	"Growing Sugar Cane"
"idea_hammer_status_0"	""	"Creating a Hammer"
"idea_iron_shield_status_0"	""	"Smithing an Iron Shield"
"idea_magic_blade_status_0"	""	"Creating a Magic Blade"
"idea_magic_ring_status_0"	""	"Creating a Magic Ring"
"idea_magic_staff_status_0"	""	"Creating a Magic Staff"
"idea_magic_tome_status_0"	""	"Creating a Magic Tome"
"idea_magic_wand_status_0"	""	"Creating a Magic Wand"
"idea_pickaxe_status_0"	""	"Creating a Pickaxe"
"idea_slingshot_status_0"	""	"Creating a Slingshot"
"idea_smithy_status_0"	""	"Building a Smithy"
"idea_spiked_plank_status_0"	""	"Spiking a Plank"
"idea_stable_portal_status_0"	""	"Building a Stable Portal"
"idea_throwing_star_status_0"	""	"Creating a Throwing Star"
"idea_wizard_robe_status_0"	""	"Creating Wizard Robe"
"idea_wooden_shield_status_0"	""	"Creating Wooden Shield"
"label_base_combatlevel"	""	"Base Combat Level [level]"
"label_can_drop"	""	"Може містити:"
"label_cancel_the_ritual"	""	"Зачекайте хвилинку..."
"label_combatlevel"	""	"Рівень бою: [level]"
"label_debug_cards"	"Does not need to be translated"	"Cards"
"label_debug_coin_chest"	"Does not need to be translated"	"Spawn full coin chest"
"label_debug_effects"	"Does not need to be translated"	"Status effects"
"label_debug_end_moon"	"Does not need to be translated"	"End current moon"
"label_debug_endless_moon"	"Does not need to be translated"	"Endless moon: [on_off]"
"label_debug_general"	"Does not need to be translated"	"General"
"label_debug_reset_run"	"Does not need to be translated"	"Reset run vars"
"label_debug_scenario_demon"	"Does not need to be translated"	"Spawn the Demon"
"label_debug_scenario_demon_lord"	"Does not need to be translated"	"Spawn the Demon Lord"
"label_debug_scenario_island"	"Does not need to be translated"	"Go to the Island"
"label_debug_scenario_kraken"	"Does not need to be translated"	"Spawn the Kraken"
"label_debug_scenario_witch_forest"	"Does not need to be translated"	"Go to witch forest"
"label_debug_shortcut_copy"	"Does not need to be translated"	"Hover + C: Copy card"
"label_debug_shortcut_delete"	"Does not need to be translated"	"Hover + R: Remove/kill card"
"label_debug_shortcut_heal"	"Does not need to be translated"	"Hover + H: heal card"
"label_debug_shortcut_progress"	"Does not need to be translated"	"Hover + Z: Complete progress"
"label_debug_shortcut_status"	"Does not need to be translated"	"Hover + U: Remove status effects"
"label_debug_shortcuts"	"Does not need to be translated"	"Shortcuts"
"label_debug_spawn_enemies"	"Does not need to be translated"	"Spawn Enemies"
"label_debug_toggle_no_food"	"Does not need to be translated"	"Not using food: [on_off]"
"label_debug_toggle_peaceful_mode"	"Does not need to be translated"	"Peaceful mode: [on_off]"
"label_debug_unlock_boosters"	"Does not need to be translated"	"Unlock all booster packs"
"label_debug_unlock_ideas"	"Does not need to be translated"	"Unlock all ideas"
"label_debug_unlock_quests"	"Does not need to be translated"	"Unlock all quests"
"label_defence"	""	"Defense"
"label_demo"	""	"Demo"
"label_demo_any_key_to_start"	""	"Press any key to start playing"
"label_demo_reset_warning"	""	"Demo will reset in [time]s, press any key to continue"
"label_equiping"	""	"Equipping [card]"
"label_everyone_in_forest_dead"	""	"You could not seek revenge"
"label_everyone_in_forest_dead_text"	""	"Strenghten up and try again!"
"label_extra_combat_stats"	""	"Extra Combat Stats: [on_off]"
"label_forest_fight"	""	"Get ready to fight!"
"label_forest_fight_wave_10"	""	"Get ready to fight the Wicked Witch!"
"label_forest_intro_1"	""	"You enter a Strange Dark Forest"
"label_forest_intro_2"	""	"An old lady appears!"
"label_forest_intro_3"	""	"Good day to you, traveler.."
"label_forest_intro_4"	""	"Now she's closer, she does not look like an Old Lady at all!"
"label_forest_intro_5"	""	"She's a Wicked Witch!"
"label_forest_intro_6"	""	"You've come to seek revenge, but you'll never defeat me!"
"label_forest_intro_title"	""	"The Dark Forest"
"label_forest_leave"	""	"You fled with your earnings"
"label_forest_lost"	""	"Pathetic, was that everything you've got?"
"label_forest_lost_2"	""	"All your villagers have fallen. You have to take your losses and fall back."
"label_forest_lost_title"	""	"Your Villagers withered away"
"label_forest_resume"	""	"So you're back for more? You will never defeat me!"
"label_forest_resume_title"	""	"Back again?"
"label_forest_wave_10_end"	""	"How did this happen? I'll defeat you!"
"label_forest_wave_10_end2"	""	"Do you want to fight the Wicked Witch or leave the Forest?"
"label_forest_wave_end"	""	"You've beaten my minions, but I have plenty more!"
"label_forest_wave_end_leave"	""	"Flee the Forest"
"label_forest_wave_end_next_wave"	""	"Fight wave [wave]"
"label_forest_wave_end_wave_10"	""	"Fight the Wicked Witch"
"label_forest_wave_end2"	""	"Do you want to fight the next wave or run away?"
"label_forest_wave_endless_end"	""	"You've defeated the Wicked Witch, yet a dark force still lingers.."
"label_forest_wave_endless_end3"	""	"You can continue fighting to get more resources"
"label_forest_wave_title"	""	"Wave Defeated"
"label_framerate_120"	""	"30 FPS"
"label_framerate_30"	""	"60 FPS"
"label_framerate_60"	""	"120 FPS"
