"Term"	"Notes"	"English"	"Ukrainian"
"card_banana_name"	""	"Banana"	"Банан"
"card_banana_tree_description"	""	"Made of Bananas"	"Зроблене з бананів"
"card_banana_tree_name"	""	"Banana Tree"	"Бананове дерево"
"card_banana_tree_status"	""	"Punching Banana Tree"	"Б'є бананове дерево"
"card_boat_status"	""	"Sailing Off"	"Відпливаємо"
"card_bottle_of_rum_description"	""	"Be careful: gets Villagers drunk!"	"Будьте обережні: робить селянинів п'яними!"
"card_bottle_of_rum_name"	""	"Bottle of Rum"	"Пляшка рому"
"card_bottle_of_water_description"	""	"A transparent bottle filled with transparent liquid"	"Прозора пляшка, наповнена прозорою рідиною"
"card_bottle_of_water_name"	""	"Bottle of Water"	"Пляшка води"
"card_captain_description"	""	"An expert in naval travel, sails off faster"	"Експерт з морських подорожей, відпливає швидше"
"card_captain_name"	""	"Captain"	"Капітан"
"card_cathedral_description"	""	"An important place of worship. It needs a relic."	"Важливе місце поклоніння. Йому потрібна реліквія."
"card_cathedral_name"	""	"Cathedral"	"Собор"
"card_cave_description"	""	"Pirates used to keep their Treasure Maps in these.."	"У них пірати зберігали свої карти скарбів..."
"card_cave_name"	""	"Cave"	"Печера"
"card_cave_status"	""	"Exploring Cave"	"Дослідження печери"
"card_ceviche_description"	""	"Sour fish, what's not to like"	"Кисла риба, що тут може не сподобатися"
"card_ceviche_name"	""	"Ceviche"	"Севіче"
"card_charcoal_description"	""	"Functions as an antidote for Snake Poison"	"Діє як антидот проти зміїної отрути"
"card_charcoal_name"	""	"Charcoal"	"Деревне вугілля"
"card_chili_pepper_description"	""	"Nice and spicy"	"Приємний і гострий"
"card_chili_pepper_name"	""	"Chili Pepper"	"Перець чилі"
"card_coconut_description"	""	"It's a fruit, not a nut!"	"Це фрукт, не горіх!"
"card_coconut_name"	""	"Coconut"	"Кокос"
"card_coconut_piece_description"	""	"Tropical!"	"Тропіки!"
"card_coconut_piece_name"	""	"Coconut Piece"	"Шматочок кокоса"
"card_coconut_tree_description"	""	"Made of Coconuts"	"Зроблене з кокоса"
"card_coconut_tree_name"	""	"Coconut Tree"	"Кокосове дерево"
"card_coconut_tree_status"	""	"Punching Coconut Tree"	"Б'є кокосове дерево"
"card_cod_name"	""	"Cod"	"Тріска"
"card_coin_chest_description"	""	"A chest that can hold Coins"	"Скриня, що може зберігати монети"
"card_coin_chest_description_long"	""	"A chest that can hold Coins. Click to remove Coins. Contains [count]/[max_count][goldicon]"	"Скриня, що може зберігати монети. Натисніть, щоб вийняти монети. Містить [count]/[max_count][goldicon]"
"card_coin_chest_name"	""	"Coin Chest"	"Скриня монет"
"card_composter_description"	""	"Turns 5 Food into Soil"	"Перетворює 5 їжі в ґрунт"
"card_composter_name"	""	"Composter"	"Компостер"
"card_cooked_crab_meat_description"	""	"It's fancy"	"Модний"
"card_cooked_crab_meat_name"	""	"Cooked Crab"	"Приготований краб"
"card_cooked_fish_description"	""	"I can taste the grill marks"	"Я відчуваю смак слідів від гриля"
"card_cooked_fish_name"	""	"Grilled Fish"	"Риба-гриль"
"card_cotton_description"	""	"Nature's wool"	"Природна вовна"
"card_cotton_name"	""	"Cotton"	"Бавовна"
"card_cotton_plant_description"	""	"Can be harvested for Cotton"	"Може бути зібрана з бавовни"
"card_cotton_plant_name"	""	"Cotton Plant"	"Бавовняна рослина"
"card_cotton_plant_status"	""	"Harvesting Cotton Plant"	"Збирання бавовни"
"card_crab_description"	""	"Why does everything evolve into crabs?"	"Чому все еволюціонує в крабів?"
"card_crab_name"	""	"Crab"	"Краб"
"card_demon_lord_description"	""	"The final, final boss!"	"Фінал, фінальний бос!"
"card_demon_lord_name"	""	"Demon Lord"	"Лорд демонів"
"card_distillery_description"	""	"Used for making booze"	"Використовується для виготовлення алкоголю"
"card_distillery_name"	""	"Distillery"	"Перегонний апарат"
"card_driftwood_description"	""	"A bunch of wood that has washed ashore"	"Купа деревини, яку викинуло на берег"
"card_driftwood_name"	""	"Driftwood"	"Корчі"
"card_driftwood_status"	""	"Rummaging through Driftwood"	"Порпання у корчах"
"card_eel_description"	""	"Electric sea snake"	"Електрична морська змія"
"card_eel_name"	""	"Eel"	"Вугор"
"card_empty_bottle_description"	""	"Made of Glass. Can be refilled!"	"Зроблена з скла. Може бути поповнена!"
"card_empty_bottle_name"	""	"Empty Bottle"	"Порожня пляшка"
"card_fabric_description"	""	"Fibres. together. strong."	"Волокна. Разом. Сильні."
"card_fabric_name"	""	"Fabric"	"Тканина"
"card_fish_trap_description"	""	"Needs a type of Food as bait"	"Потребує їжу для приманки"
"card_fish_trap_name"	""	"Fish Trap"	"Пастка для риби"
"card_fish_trap_status"	""	"Catching Fish"	"Ловіння риби"
"card_fisher_description"	""	"An expert at fishing. Fish fear him"	"Експерт з очікування. Риби бояться його"
"card_fisher_name"	""	"Fisher"	"Рибак"
"card_fishing_rod_description"	""	"Give it to a Villager to turn them into a Fisher"	"Дайте це селянину, щоб він став рибаком"
"card_fishing_rod_name"	""	"Fishing Rod"	"Вудочка"
"card_fishing_spot_description"	""	"A body of water filled with Fish"	"Водойма, наповнена рибою"
"card_fishing_spot_name"	""	"Fishing Spot"	"Рибальське місце"
"card_fishing_spot_status"	""	"Fishing"	"Риболовим"
"card_friendly_pirate_description"	""	"It has joined your side"	"Він приєднався до вас"
"card_friendly_pirate_name"	""	"Friendly Pirate"	"Дружелюбний пірат"
"card_frigate_description"	""	"Can carry 25 Cards. Needs a Villager to start sailing. Can't carry Buildings"	"Може перевозити 25 карток. Потребує селянина для відплиття. Не може перевозити будівлі"
"card_frigate_name"	""	"Frigate"	"Фригат"
"card_glass_description"	""	"A transparent resource"	"Прозорий ресурс"
"card_glass_name"	""	"Glass"	"Скло"
"card_gold_bar_description"	""	"A very shiny, very valuable material"	"Дуже блискучий та цінний"
"card_gold_bar_name"	""	"Gold Bar"	"Золотий злиток"
"card_gold_deposit_description"	""	"It contains Gold Ore"	"Містить золото"
"card_gold_deposit_name"	""	"Gold Deposit"	"Родовище золота"
"card_gold_deposit_status"	""	"Punching Gold Deposit"	"Видобуток родовища золота"
"card_gold_mine_description"	""	"An unlimited resource of Gold Ore"	"Нескінченне джерело золотої руди"
"card_gold_mine_name"	""	"Gold Mine"	"Золота копальня"
"card_gold_mine_status"	""	"Working in Gold Mine"	"Працює на золотій копальні"
"card_gold_ore_description"	""	"Can be turned into Gold Bars"	"Може бути перероблена на золоті злитки"
"card_gold_ore_name"	""	"Gold Ore"	"Золота руда"
"card_goop_description"	""	"Smush, sludge, gunk: it's spoilt food"	"Каша, мул, бруд: це зіпсована їжа"
"card_goop_name"	""	"Goop"	"Бридота"
"card_greenhouse_description"	""	"A high-tech building for growing Food. Automatically replants crops."	"Високотехнологічна будівля для вирощування їжі. Автоматично засаджує посадки після збору."
"card_greenhouse_name"	""	"Greenhouse"	"Теплиця"
"card_island_relic_description"	""	"Bring it to a Cathedral"	"Принесіть її до собору"
"card_island_relic_name"	""	"Island Relic"	"Острівна реліквія"
"card_jungle_description"	""	"A forest known for books"	"A forest known for books"
"card_jungle_name"	""	"Jungle"	"Джунглі"
"card_jungle_status"	""	"Exploring Jungle"	"Дослідження джунглів"
"card_kraken_description"	""	"Mad that you took its relic"	"Злиться, що ви забрали його реліквію."
"card_kraken_name"	""	"Kraken"	"Кракен"
"card_lime_description"	""	"Round and sour"	"Кисло-солодкий"
"card_lime_name"	""	"Lime"	"Лайм"
"card_mackerel_name"	""	"Mackerel"	"Скумбрія"
"card_mess_hall_description"	""	"Villagers will prioritize eating food that's on top of the Mess Hall"	"Селяни надаватимуть перевагу їжі, що лежить на їдальні"
"card_mess_hall_name"	""	"Mess Hall"	"Їдальня"
"card_message_in_a_bottle_description"	""	"It seems to have an Idea in it"	"Здається, в ній є Ідея"
"card_message_in_a_bottle_name"	""	"Message in a Bottle"	"Повідомлення в пляшці"
"card_message_in_a_bottle_status"	""	"Opening Bottle"	"Відкриття банки"
"card_mine_description"	""	"An unlimited resource of Iron Ore"	"Нескінченне джерело залізної руди"
"card_mine_name"	""	"Iron Mine"	"Залізна шахта"
"card_mine_status"	""	"Working in Iron Mine"	"Працює на золотій копальні"
"card_momma_crab_description"	""	"Maybe you shouldn't have killed those Crabs?"	"Може, не варто було вбивати тих крабів?"
"card_momma_crab_name"	""	"Momma Crab"	"Мама-краб"
"card_monkey_description"	""	"Would really like a Banana"	"Would really like a Banana"
"card_monkey_name"	""	"Monkey"	"Monkey"
"card_parrot_description"	""	"Talks like a human, flies like a bird. Makes Pirates happy"	"Talks like a human, flies like a bird. Makes Pirates happy"
"card_parrot_name"	""	"Parrot"	"Parrot"
"card_pirate_boat_description"	""	"A boat full of Pirates"	"A boat full of Pirates"
"card_pirate_boat_name"	""	"Pirate Boat"	"Pirate Boat"
"card_pirate_boat_status"	""	"We'll leave you alone for [count] Coins.."	"We'll leave you alone for [count] Coins.."
"card_pirate_description"	""	"A burly angry seaman"	"A burly angry seaman"
"card_pirate_name"	""	"Pirate"	"Pirate"
"card_raw_crab_meat_description"	""	"Should be cooked before consumption"	"Should be cooked before consumption"
"card_raw_crab_meat_name"	""	"Raw Crab Meat"	"Raw Crab Meat"
"card_raw_fish_description"	""	"It's slippery"	"It's slippery"
"card_raw_fish_name"	""	"Raw Fish"	"Raw Fish"
"card_rope_description"	""	"Long and fibrous"	"Long and fibrous"
"card_rope_name"	""	"Rope"	"Rope"
"card_rowboat_description"	""	"Can carry 1 Card. Needs a Villager to start sailing. Can't carry Buildings"	"Can carry 1 Card. Needs a Villager to start sailing. Can't carry Buildings"
"card_rowboat_name"	""	"Rowboat"	"Rowboat"
"card_sacred_chest_description"	""	"It needs a Sacred Key to be opened"	"It needs a Sacred Key to be opened"
"card_sacred_chest_name"	""	"Sacred Chest"	"Sacred Chest"
"card_sacred_key_description"	""	"Forged with Glass and Gold. Used for opening the Sacred Chest."	"Forged with Glass and Gold. Used for opening the Sacred Chest."
"card_sacred_key_name"	""	"Sacred Key"	"Sacred Key"
"card_sail_description"	""	"Used for making Boats"	"Used for making Boats"
"card_sail_name"	""	"Sail"	"Sail"
"card_sand_description"	""	"The main ingredient for a nice beach"	"The main ingredient for a nice beach"
"card_sand_name"	""	"Sand"	"Sand"
"card_sand_quarry_description"	""	"An unlimited resource of Sand"	"An unlimited resource of Sand"
"card_sand_quarry_name"	""	"Sand Quarry"	"Sand Quarry"
"card_sand_quarry_status"	""	"Mining at Sand Quarry"	"Mining at Sand Quarry"
"card_sandstone_description"	""	"An alternative to Stone. Can be used for anything Stone is needed for."	"An alternative to Stone. Can be used for anything Stone is needed for."
"card_sandstone_name"	""	"Sandstone"	"Sandstone"
"card_seafood_stew_description"	""	"Delicious Island stew"	"Delicious Island stew"
"card_seafood_stew_name"	""	"Seafood Stew"	"Seafood Stew"
"card_seagull_description"	""	"An angry bird"	"An angry bird"
"card_seagull_name"	""	"Seagull"	"Seagull"
"card_seaweed_description"	""	"Salad of the sea"	"Salad of the sea"
"card_seaweed_name"	""	"Seaweed"	"Seaweed"
"card_shark_description"	""	"A type of big angry fish"	"A type of big angry fish"
"card_shark_name"	""	"Shark"	"Shark"
"card_sheep_description"	""	"Fluffy!"	"Fluffy!"
"card_sheep_name"	""	"Sheep"	"Sheep"
"card_shell_chest_description"	""	"A chest that can hold Shells"	"A chest that can hold Shells"
"card_shell_chest_description_long"	""	"A chest that can hold Shells. Click to remove Shells . Contains [count]/[max_count][shellicon]"	"A chest that can hold Shells. Click to remove Shells . Contains [count]/[max_count][shellicon]"
"card_shell_chest_name"	""	"Shell Chest"	"Shell Chest"
"card_shell_description"	""	"The main currency on the Island"	"The main currency on the Island"
"card_shell_name"	""	"Shell"	"Shell"
"card_sloop_description"	""	"Can carry 10 Cards. Needs a Villager to start sailing. Can't carry Buildings"	"Can carry 10 Cards. Needs a Villager to start sailing. Can't carry Buildings"
"card_sloop_name"	""	"Sloop"	"Sloop"
"card_smelter_description"	""	"Processes various materials by smelting them"	"Processes various materials by smelting them"
"card_smelter_name"	""	"Smelter"	"Smelter"
"card_smelter_status"	""	"Smelting"	"Smelting"
"card_snake_description"	""	"A slithering, poisonous creature"	"A slithering, poisonous creature"
"card_snake_name"	""	"Snake"	"Snake"
"card_spring_description"	""	"A water source. Can be used to fill Empty Bottles"	"A water source. Can be used to fill Empty Bottles"
"card_spring_name"	""	"Spring"	"Spring"
"card_sugar_cane_description"	""	"It's candy flavored grass"	"It's candy flavored grass"
"card_sugar_cane_name"	""	"Sugar Cane"	"Sugar Cane"
"card_sugar_cane_status"	""	"Harvesting Sugar Cane"	"Harvesting Sugar Cane"
"card_sugar_description"	""	"Very sweet!"	"Very sweet!"
"card_sugar_name"	""	"Cane Sugar"	"Cane Sugar"
"card_sushi_description"	""	"A delicious treat"	"A delicious treat"
"card_sushi_name"	""	"Sushi"	"Sushi"
"card_tamago_sushi_description"	""	"Egg flavored sushi"	"Egg flavored sushi"
"card_tamago_sushi_name"	""	"Tamago Sushi"	"Tamago Sushi"
"card_tentacle_description"	""	"Wiggle wiggle wiggle"	"Wiggle wiggle wiggle"
"card_tentacle_name"	""	"Tentacle"	"Tentacle"
"card_tiger_description"	""	"A very strong cat"	"A very strong cat"
"card_tiger_name"	""	"Tiger"	"Tiger"
"card_trained_monkey_description"	""	"Can help you out with chores. Turns back into a normal Monkey at the end of the Moon"	"Can help you out with chores. Turns back into a normal Monkey at the end of the Moon"
"card_trained_monkey_name"	""	"Trained Monkey"	"Trained Monkey"
"card_treasure_map_description"	""	"X marks the spot. Needs to be searched with a Villager"	"X marks the spot. Needs to be searched with a Villager"
"card_treasure_map_name"	""	"Treasure Map"	"Treasure Map"
"card_treasure_map_status"	""	"Looking for Treasure"	"Looking for Treasure"
"card_tuna_name"	""	"Tuna"	"Tuna"
"card_wool_description"	""	"A soft resource"	"A soft resource"
"card_wool_name"	""	"Wool"	"Wool"
"cardtype_fish"	""	"Fish"	"Fish"
"cardtype_rumors"	""	"Rumors"	"Rumors"
"empty"	"Intentionally left blank"	""	""
"idea_aquarium_status_0"	""	"Building Aquarium"	"Building Aquarium"
"idea_befriending_pirate_status"	""	"Befriending Pirate"	"Befriending Pirate"
"idea_bottle_status_0"	""	"Making Bottle"	"Making Bottle"
"idea_cathedral_status_0"	""	"Building Cathedral"	"Building Cathedral"
"idea_ceviche_status"	""	"Making Ceviche"	"Making Ceviche"
"idea_charcoal_status"	""	"Making Charcoal"	"Making Charcoal"
"idea_charcoal_status_0"	""	"Making Charcoal"	"Making Charcoal"
"idea_compass_status"	""	"Making Compass"	"Making Compass"
"idea_composter_status"	""	"Building Composter"	"Building Composter"
"idea_composting_status"	""	"Composting"	"Composting"
"idea_cooked_crab_meat_status_0"	""	"Cooking Crab Meat"	"Cooking Crab Meat"
"idea_cooked_fish_status_0"	""	"Grilling Fish"	"Grilling Fish"
"idea_cracking_coconut_status"	""	"Cracking Coconut"	"Cracking Coconut"
"idea_distillery_status"	""	"Building Distillery"	"Building Distillery"
"idea_eating_charcoal"	""	"Removing Poison"	"Removing Poison"
"idea_fabric_status"	""	"Making Fabric"	"Making Fabric"
"idea_filling_bottle_of_water"	""	"Filling Bottle"	"Filling Bottle"
"idea_fish_trap_status"	""	"Building Fish Trap"	"Building Fish Trap"
"idea_fishing_rod_status"	""	"Making Fishing Rod"	"Making Fishing Rod"
"idea_frigate_status0"	""	"Building a Frigate"	"Building a Frigate"
"idea_greenhouse_status_0"	""	"Building Greenhouse"	"Building Greenhouse"
"idea_growth_name_status_10"	""	"Growing Chili Pepper"	"Growing Chili Pepper"
"idea_growth_name_status_9"	""	"Growing Lime"	"Growing Lime"
"idea_growth_status_6"	""	"Growing Banana Tree"	"Growing Banana Tree"
"idea_growth_status_7"	""	"Growing Coconut Tree"	"Growing Coconut Tree"
"idea_growth_status_8"	""	"Growing Cotton Plant"	"Growing Cotton Plant"
"idea_mess_hall_status"	""	"Building Mess Hall"	"Building Mess Hall"
"idea_rope_status"	""	"Making Rope"	"Making Rope"
"idea_rowboat_status0"	""	"Building a Rowboat"	"Building a Rowboat"
"idea_rum_status"	""	"Making Rum"	"Making Rum"
"idea_sacred_key_status0"	""	"Forging Sacred Key"	"Forging Sacred Key"
"idea_sail_status0"	""	"Making a Sail"	"Making a Sail"
"idea_sand_quarry_status"	""	"Building Sand Quarry"	"Building Sand Quarry"
"idea_sandstone_status"	""	"Creating Sandstone"	"Creating Sandstone"
"idea_seafood_stew_status_0"	""	"Cooking Seafood Stew"	"Cooking Seafood Stew"
"idea_shell_chest_status_0"	""	"Making Shell Chest"	"Making Shell Chest"
"idea_sloop_status0"	""	"Building a Sloop"	"Building a Sloop"
"idea_smelting_glass_status"	""	"Creating Glass"	"Creating Glass"
"idea_smelting_status_2"	""	"Smelting Gold"	"Smelting Gold"
"idea_smelting_status_3"	""	"Making Coin"	"Making Coin"
"idea_sushi_status"	""	"Making Sushi"	"Making Sushi"
"idea_tamago_sushi_status"	""	"Making Tamago Sushi"	"Making Tamago Sushi"
"idea_training_captain_status"	""	"Training Captain"	"Training Captain"
"idea_training_fisher_status"	""	"Training Fisher"	"Training Fisher"
"idea_training_monkey_status"	""	"Training Monkey"	"Training Monkey"
"ideagroup_fishing"	""	"Fishing"	"Fishing"
"ideagroup_important"	""	"Important"	"Important"
"ideagroup_island"	""	"Island"	"Island"
"ideagroup_sailing"	""	"Naval"	"Naval"
"label_a_rumor"	""	"A Rumor"	"A Rumor"
"label_awakened_something"	""	"You awakened something.."	"You awakened something.."
"label_awakened_the_kraken"	""	"It's a Kraken!"	"It's a Kraken!"
"label_card_cap"	""	"Card Cap"	"Card Cap"
"label_complete_more_island_quests_for_pack"	""	"<one>Complete 1 more Island Quest to unlock this Pack!<other>Complete [remaining] more Island Quests to unlock this Pack!"	"<one>Complete 1 more Island Quest to unlock this Pack!<other>Complete [remaining] more Island Quests to unlock this Pack!"
"label_everyone_on_island_dead"	""	"Everyone on the Island died"	"Everyone on the Island died"
"label_everyone_on_island_dead_text"	""	"Your cards will stay here for when you return"	"Your cards will stay here for when you return"
"label_island_intro_1"	""	"Welcome to the Island"	"Welcome to the Island"
"label_island_intro_2"	""	"While at the Island you won't have to take care of the Mainland"	"While at the Island you won't have to take care of the Mainland"
"label_island_intro_3"	""	"You can go back to the Mainland at any time using the Rowboat"	"You can go back to the Mainland at any time using the Rowboat"
"label_island_intro_4"	""	"The Rowboat can only carry a single card - other Boats allow you to bring more cards back and forth"	"The Rowboat can only carry a single card - other Boats allow you to bring more cards back and forth"
"label_island_intro_5"	""	"If all your Villagers die, you will be returned to the Mainland"	"If all your Villagers die, you will be returned to the Mainland"
"label_island_intro_6"	""	"Good luck!"	"Good luck!"
"label_island_intro_pack_text"	""	"You got a pack for beating the Demon"	"You got a pack for beating the Demon"
"label_island_intro_pack_title"	""	"Nice!"	"Nice!"
"label_island_intro_title"	""	"The Island!"	"The Island!"
"label_join_our_discord"	""	"Join our Discord"	"Доєднуйся до нас у Discord"
"label_main_quests"	""	"Main Quests"	"Main Quests"
"label_momma_crab_appeared_text"	""	"She seems angry.."	"She seems angry.."
"label_momma_crab_appeared_title"	""	"Momma Crab Appeared"	"Momma Crab Appeared"
"label_no_ideas_yet"	""	"You haven't found any Ideas yet"	"You haven't found any Ideas yet"
"label_one_villager_needs_to_stay"	""	"At least one Villager needs to stay on the Mainland"	"At least one Villager needs to stay on the Mainland"
"label_pirate_boat_appeared"	""	"A Pirate Boat appeared"	"A Pirate Boat appeared"
"label_quests_complete_more_to_see"	""	"Complete more quests to see the next ones"	"Complete more quests to see the next ones"
"label_return_to_mainland"	""	"Return to Mainland"	"Return to Mainland"
"label_rumor_full"	""	"Rumor: [name]"	"Rumor: [name]"
"label_sailing_off_title"	""	"Sail Off"	"Sail Off"
"label_save_game"	""	"<b>Save [save_index]</b> - [percentage] complete - last played [date]"	"<b>Save [save_index]</b> - [percentage] complete - last played [date]"
"label_save_games"	""	"Save Game"	"Save Game"
"label_select_save"	""	"Select Save"	"Вибрати збереження"
"label_side_quests"	""	"Side Quests"	"Side Quests"
"label_start_new_save"	""	"<b>Save [save_index]</b> - start new save"	"<b>Save [save_index]</b> - start new save"
"label_status_effect"	""	"Status: [status]"	"Status: [status]"
"label_time"	""	"Time"	"Time"
"label_you_killed_the_demon_lord"	""	"You killed the Demon Lord"	"You killed the Demon Lord"
"pack_island_advanced_text"	""	"Advanced Archipelago"	"Advanced Archipelago"
"pack_island_cooking_text"	""	"Grilling and Brewing"	"Grilling and Brewing"
"pack_island_ideas1_text"	""	"Island of Ideas"	"Island of Ideas"
"pack_island_ideas2_text"	""	"Island Insights"	"Island Insights"
"pack_island_intro_text"	""	"The Island?"	"The Island?"
"pack_island_locations_text"	""	"Enclave Explorers"	"Enclave Explorers"
"pack_island1_text"	""	"Fresh Isle"	"Fresh Isle"
"pack_island2_text"	""	"On The Shore"	"On The Shore"
"quest_befriend_a_pirate_text"	""	"Befriend a Pirate"	"Befriend a Pirate"
"quest_bribe_pirate_boat_text"	""	"Bribe a Pirate Boat"	"Bribe a Pirate Boat"
"quest_build_cathedral_text"	""	"Build a Cathedral on the Mainland"	"Build a Cathedral on the Mainland"
"quest_build_composter_text"	""	"Build a Composter"	"Build a Composter"
"quest_build_fish_trap_text"	""	"Build a Fish Trap"	"Build a Fish Trap"
"quest_build_greenhouse_text"	""	"Build a Greenhouse"	"Build a Greenhouse"
"quest_build_mess_hall_text"	""	"Build a Mess Hall"	"Build a Mess Hall"
"quest_build_rowboat_text"	""	"Build a Rowboat"	"Build a Rowboat"
"quest_build_sloop_text"	""	"Build a Sloop"	"Build a Sloop"
"quest_catch_a_fish_text"	""	"Catch a Fish"	"Catch a Fish"
"quest_cook_crab_meat_text"	""	"Cook Crab Meat"	"Cook Crab Meat"
"quest_crack_coconut_text"	""	"Crack a Coconut"	"Crack a Coconut"
"quest_cure_poison_text"	""	"Cure a Poisoned Villager"	"Cure a Poisoned Villager"
"quest_drunk_villager_text"	""	"Get a Villager Drunk"	"Get a Villager Drunk"
"quest_find_treasure_map_text"	""	"Find a Treasure Map"	"Find a Treasure Map"
"quest_find_treasure_text"	""	"Find Treasure"	"Find Treasure"
"quest_forge_sacred_key_text"	""	"Forge Sacred Key"	"Forge Sacred Key"
"quest_get_2_bananas_text"	""	"Get 2 Bananas"	"Get 2 Bananas"
"quest_have_shells_text"	""	"Have [count] Shells"	"Have [count] Shells"
"quest_island_relic_to_cathedral_text"	""	"Bring the Island Relic to the Cathedral"	"Bring the Island Relic to the Cathedral"
"quest_kill_demon_lord_text"	""	"Kill the Demon Lord"	"Kill the Demon Lord"
"quest_kill_kraken_text"	""	"Kill the Kraken"	"Kill the Kraken"
"quest_kill_momma_crab_text"	""	"Kill Momma Crab"	"Kill Momma Crab"
"quest_make_ceviche_text"	""	"Make Ceviche"	"Make Ceviche"
"quest_make_fish_trap_text"	""	"Make a Fish Trap"	"Make a Fish Trap"
"quest_make_glass_text"	""	"Make Glass"	"Make Glass"
"quest_make_gold_bar_text"	""	"Make a Gold Bar"	"Make a Gold Bar"
"quest_make_rope_text"	""	"Make Rope"	"Make Rope"
"quest_make_rum_text"	""	"Make a Bottle of Rum"	"Make a Bottle of Rum"
"quest_make_sail_text"	""	"Make a Sail"	"Make a Sail"
"quest_make_sandstone_text"	""	"Make Sandstone"	"Make Sandstone"
"quest_make_seafood_stew_text"	""	"Make a Seafood Stew"	"Make a Seafood Stew"
"quest_make_sushi_text"	""	"Make Sushi"	"Make Sushi"
"quest_open_message_in_a_bottle_text"	""	"Open a Message in a Bottle"	"Open a Message in a Bottle"
"quest_open_sacred_chest_text"	""	"Open the Sacred Chest"	"Open the Sacred Chest"
"quest_poisoned_villager_text"	""	"Have a Poisoned Villager"	"Have a Poisoned Villager"
"quest_punch_driftwood_text"	""	"Punch some Driftwood"	"Punch some Driftwood"
"quest_train_a_fisher_text"	""	"Train a Fisher"	"Train a Fisher"
"quest_train_captain_text"	""	"Train a Captain"	"Train a Captain"
"quest_unlock_all_island_packs_text"	""	"Unlock all Island Packs"	"Unlock all Island Packs"
"questgroup_building"	""	"Construction"	"Construction"
"questgroup_cooking"	""	"Potluck"	"Potluck"
"questgroup_exploration"	""	"Discovery"	"Discovery"
"questgroup_fighting"	""	"Power & Skill"	"Power & Skill"
"questgroup_island"	""	"Island Ambitions"	"Island Ambitions"
"questgroup_island_beginnings"	""	"Marooned"	"Marooned"
"questgroup_island_combat"	""	"Enclave Encounters"	"Enclave Encounters"
"questgroup_island_cooking"	""	"Island Grub"	"Island Grub"
"questgroup_island_mainquest"	""	"Mystery of the Island"	"Mystery of the Island"
"questgroup_island_misc"	""	"Island Other"	"Island Other"
"questgroup_mainquest"	""	"The Grand Scheme"	"The Grand Scheme"
"questgroup_other"	""	"Other"	"Other"
"questgroup_resources"	""	"Ways and Means"	"Ways and Means"
"questgroup_starter"	""	"Welcome"	"Welcome"
"questgroup_survival"	""	"Longevity"	"Longevity"
"rumor_eel_bait_description"	""	"When using a Fish Trap, Banana can be used to catch Eel"	"When using a Fish Trap, Banana can be used to catch Eel"
"rumor_eel_bait_name"	""	"Eel Bait"	"Eel Bait"
"rumor_island_description"	""	"Gold and Glass can be found on the Island"	"Gold and Glass can be found on the Island"
"rumor_island_name"	""	"The Island"	"The Island"
"rumor_shark_bait_description"	""	"When using a Fish Trap, Raw Meat can be used to catch Shark"	"When using a Fish Trap, Raw Meat can be used to catch Shark"
"rumor_shark_bait_name"	""	"Shark Bait"	"Shark Bait"
"rumor_tuna_bait_description"	""	"When using a Fish Trap, Lime can be used to catch Tuna"	"When using a Fish Trap, Lime can be used to catch Tuna"
"rumor_tuna_bait_name"	""	"Tuna Bait"	"Tuna Bait"
"statuseffect_drunk_description"	""	"Decreases work speed, decreases hit chance, increases max damage"	"Decreases work speed, decreases hit chance, increases max damage"
"statuseffect_drunk_lore"	""	"Enjoy responsibly"	"Enjoy responsibly"
"statuseffect_drunk_name"	""	"Drunk"	"Drunk"
"statuseffect_poison_description"	""	"Deals damage every 60s"	"Deals damage every 60s"
"statuseffect_poison_lore"	""	"Dangerous poison runs through their veins, they need an antidote as soon as possible"	"Dangerous poison runs through their veins, they need an antidote as soon as possible"
"statuseffect_poison_name"	""	"Poisoned"	"Poisoned"
"statuseffect_spoiling_description"	""	"Will turn into Goop after 1 Moon"	"Will turn into Goop after 1 Moon"
"statuseffect_spoiling_lore"	""	"Left out in the sun for a bit too long"	"Left out in the sun for a bit too long"
"statuseffect_spoiling_name"	""	"Spoiling"	"Spoiling"
"statuseffect_stunned_description"	""	"Unable to attack for 5s"	"Unable to attack for 5s"
"statuseffect_stunned_lore"	""	"That hit really hurt.."	"That hit really hurt.."
"statuseffect_stunned_name"	""	"Stunned"	"Stunned"
"statuseffect_wellfed_description"	""	"Increases work speed"	"Increases work speed"
"statuseffect_wellfed_lore"	""	"The hearty meal did them well"	"The hearty meal did them well"
"statuseffect_wellfed_name"	""	"Well Fed"	"Well Fed"
"label_sailing_off_full"	""	"Sailing Off"	"Sailing Off"
"language_dutch"	""	"Dutch"	"Голландська"
"language_french"	""	"French"	"Французька"
"language_german"	""	"German"	"Німецька"
"language_italian"	""	"Italian"	"Італійська"
"language_polish"	""	"Polish"	"Польська"
"language_spanish"	""	"Spanish"	"Іспанська"
"credits_aran"	""	"Concept, programming, design"	"Концепт, програмування, дизайн"
"credits_lisa"	""	"Game art"	"Ігровий дизайн"
"credits_sokpop"	""	"Game by Sokpop"	"Гра від Sokpop"
"credits_local_heroes"	""	"Localisation"	"Переклад"
"credits_special_thanks"	""	"Special Thanks"	"Особлива подяка"
"label_relic_brought_to_cathedral"	""	"The Relic was brought to the Cathedral"	"The Relic was brought to the Cathedral"
"label_controls"	""	"Controls"	"Керування"
